image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.42938278198242186;n02640242 sturgeon;n01440764;[{'class': 'n02640242 sturgeon', 'probability': 0.42938278198242186}, {'class': 'n01695060 Komodo_dragon', 'probability': 0.1904233741760254}, {'class': 'n02536864 coho', 'probability': 0.1441340160369873}, {'class': 'n01440764 tench', 'probability': 0.054106521606445315}, {'class': 'n01677366 common_iguana', 'probability': 0.0495810079574585}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.9592625427246094;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.9592625427246094}, {'class': 'n02607072 anemone_fish', 'probability': 0.027306811809539797}, {'class': 'n01914609 sea_anemone', 'probability': 0.0061809194087982175}, {'class': 'n01910747 jellyfish', 'probability': 0.0021745085716247557}, {'class': 'n01924916 flatworm', 'probability': 0.0013349543511867524}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.9430481719970704;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9430481719970704}, {'class': 'n01664065 loggerhead', 'probability': 0.009833504557609557}, {'class': 'n09256479 coral_reef', 'probability': 0.008147153854370117}, {'class': 'n10565667 scuba_diver', 'probability': 0.007714107632637024}, {'class': 'n01910747 jellyfish', 'probability': 0.005263957381248474}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9999995422363281;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999995422363281}, {'class': 'n01440764 tench', 'probability': 2.275631959491875e-07}, {'class': 'n02641379 gar', 'probability': 2.0310581021476538e-07}, {'class': 'n02607072 anemone_fish', 'probability': 8.41051701172546e-09}, {'class': 'n01632777 axolotl', 'probability': 4.7562627969455205e-09}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999767303466797;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999767303466797}, {'class': 'n02007558 flamingo', 'probability': 1.2483750469982625e-05}, {'class': 'n02607072 anemone_fish', 'probability': 5.29768061824143e-06}, {'class': 'n01632777 axolotl', 'probability': 1.7743230273481459e-06}, {'class': 'n02606052 rock_beauty', 'probability': 9.810149640543387e-07}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.9276691436767578;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.9276691436767578}, {'class': 'n02321529 sea_cucumber', 'probability': 0.0417805814743042}, {'class': 'n01950731 sea_slug', 'probability': 0.006451904177665711}, {'class': 'n09472597 volcano', 'probability': 0.005967918038368225}, {'class': 'n02526121 eel', 'probability': 0.002611236274242401}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.4813801193237305;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.4813801193237305}, {'class': 'n01514668 cock', 'probability': 0.4471624755859375}, {'class': 'n02011460 bittern', 'probability': 0.023244001865386964}, {'class': 'n12768682 buckeye', 'probability': 0.004878842830657959}, {'class': 'n01847000 drake', 'probability': 0.004329346120357513}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.7882289123535157;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.7882289123535157}, {'class': 'n01514668 cock', 'probability': 0.2094770622253418}, {'class': 'n01819313 sulphur-crested_cockatoo', 'probability': 0.0009837007522583007}, {'class': 'n01795545 black_grouse', 'probability': 0.00032128021121025085}, {'class': 'n01806143 peacock', 'probability': 0.00028065457940101623}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.7852500915527344;n01534433 junco;n01530575;[{'class': 'n01534433 junco', 'probability': 0.7852500915527344}, {'class': 'n01530575 brambling', 'probability': 0.17503711700439453}, {'class': 'n01601694 water_ouzel', 'probability': 0.015227173566818237}, {'class': 'n01531178 goldfinch', 'probability': 0.011703526973724366}, {'class': 'n01532829 house_finch', 'probability': 0.009185564517974854}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9971375274658203;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9971375274658203}, {'class': 'n01558993 robin', 'probability': 0.0023597897589206695}, {'class': 'n01534433 junco', 'probability': 0.0002844269387423992}, {'class': 'n01532829 house_finch', 'probability': 0.00010253490880131722}, {'class': 'n01531178 goldfinch', 'probability': 2.9246616177260874e-05}]
../dataset/ALine/n01531178/ILSVRC2012_val_00000570.JPEG;0.9550294494628906;n01531178 goldfinch;n01531178;[{'class': 'n01531178 goldfinch', 'probability': 0.9550294494628906}, {'class': 'n02168699 long-horned_beetle', 'probability': 0.037384562492370606}, {'class': 'n01829413 hornbill', 'probability': 0.0028841906785964967}, {'class': "n12057211 yellow_lady's_slipper", 'probability': 0.0007204406708478928}, {'class': 'n02177972 weevil', 'probability': 0.0005674012750387192}]
../dataset/ALine/n01532829/ILSVRC2012_val_00000873.JPEG;0.2892914772033691;n01532829 house_finch;n01532829;[{'class': 'n01532829 house_finch', 'probability': 0.2892914772033691}, {'class': 'n02843684 birdhouse', 'probability': 0.22416772842407226}, {'class': 'n01537544 indigo_bunting', 'probability': 0.08126718521118165}, {'class': 'n01558993 robin', 'probability': 0.07674728870391846}, {'class': 'n04192698 shield', 'probability': 0.029233067035675048}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000247.JPEG;0.9996331024169922;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.9996331024169922}, {'class': 'n01592084 chickadee', 'probability': 0.0002415645681321621}, {'class': 'n01530575 brambling', 'probability': 0.00010357449762523175}, {'class': 'n01601694 water_ouzel', 'probability': 5.872636684216559e-06}, {'class': 'n01537544 indigo_bunting', 'probability': 5.682191695086658e-06}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000713.JPEG;0.9998817443847656;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.9998817443847656}, {'class': 'n01601694 water_ouzel', 'probability': 4.486304707825184e-05}, {'class': 'n01532829 house_finch', 'probability': 1.9384791376069188e-05}, {'class': 'n01560419 bulbul', 'probability': 9.252125746570527e-06}, {'class': 'n01530575 brambling', 'probability': 9.181052446365356e-06}]
../dataset/ALine/n01537544/ILSVRC2012_val_00000414.JPEG;0.9990093994140625;n01537544 indigo_bunting;n01537544;[{'class': 'n01537544 indigo_bunting', 'probability': 0.9990093994140625}, {'class': 'n01818515 macaw', 'probability': 0.0007279117405414582}, {'class': 'n01580077 jay', 'probability': 0.0001698947511613369}, {'class': 'n02009229 little_blue_heron', 'probability': 2.050577662885189e-05}, {'class': 'n01820546 lorikeet', 'probability': 1.65545369964093e-05}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000198.JPEG;0.9619322204589844;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9619322204589844}, {'class': 'n01833805 hummingbird', 'probability': 0.017421215772628784}, {'class': 'n02002556 white_stork', 'probability': 0.004396782219409943}, {'class': 'n01608432 kite', 'probability': 0.004213056564331055}, {'class': 'n01843383 toucan', 'probability': 0.0022206033766269686}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000217.JPEG;0.9998832702636719;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9998832702636719}, {'class': 'n01532829 house_finch', 'probability': 5.153416190296412e-05}, {'class': 'n01534433 junco', 'probability': 1.2729957234114408e-05}, {'class': 'n01806567 quail', 'probability': 1.063565956428647e-05}, {'class': 'n01833805 hummingbird', 'probability': 8.703932398930193e-06}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000439.JPEG;0.9984501647949219;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9984501647949219}, {'class': 'n01580077 jay', 'probability': 0.0005828872695565223}, {'class': 'n01558993 robin', 'probability': 0.00034356452524662016}, {'class': 'n01592084 chickadee', 'probability': 0.0002331249788403511}, {'class': 'n01582220 magpie', 'probability': 0.00011795184575021267}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000638.JPEG;0.9996437072753906;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9996437072753906}, {'class': 'n01534433 junco', 'probability': 0.0002499641850590706}, {'class': 'n01592084 chickadee', 'probability': 5.060278344899416e-05}, {'class': 'n01582220 magpie', 'probability': 1.9128378480672835e-05}, {'class': 'n01531178 goldfinch', 'probability': 1.0739690624177457e-05}]
