image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.5550900268554687;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.5550900268554687}, {'class': 'n02640242 sturgeon', 'probability': 0.2131005859375}, {'class': 'n02536864 coho', 'probability': 0.10665129661560059}, {'class': 'n02641379 gar', 'probability': 0.05124676704406738}, {'class': 'n02514041 barracouta', 'probability': 0.04452353477478027}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.7183088684082031;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.7183088684082031}, {'class': 'n02607072 anemone_fish', 'probability': 0.11536504745483399}, {'class': 'n01914609 sea_anemone', 'probability': 0.09860028266906738}, {'class': 'n01443537 goldfish', 'probability': 0.036750078201293945}, {'class': 'n01632777 axolotl', 'probability': 0.006813756227493286}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.9571649169921875;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9571649169921875}, {'class': 'n10565667 scuba_diver', 'probability': 0.014530150890350342}, {'class': 'n01632777 axolotl', 'probability': 0.005909740924835205}, {'class': 'n01664065 loggerhead', 'probability': 0.004255640208721161}, {'class': 'n01910747 jellyfish', 'probability': 0.003547418713569641}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.999954833984375;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.999954833984375}, {'class': 'n02606052 rock_beauty', 'probability': 1.9176200730726123e-05}, {'class': 'n01440764 tench', 'probability': 1.805778592824936e-05}, {'class': 'n01632777 axolotl', 'probability': 2.868777373805642e-06}, {'class': 'n02607072 anemone_fish', 'probability': 2.7306037372909487e-06}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999254608154297;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999254608154297}, {'class': 'n02606052 rock_beauty', 'probability': 4.2751901783049104e-05}, {'class': 'n01440764 tench', 'probability': 1.4325762167572975e-05}, {'class': 'n02607072 anemone_fish', 'probability': 1.2339383829385042e-05}, {'class': 'n01632777 axolotl', 'probability': 1.4218976139090955e-06}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.40501300811767577;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.40501300811767577}, {'class': 'n01955084 chiton', 'probability': 0.18002620697021485}, {'class': 'n09472597 volcano', 'probability': 0.15210556983947754}, {'class': 'n01910747 jellyfish', 'probability': 0.035824291706085205}, {'class': 'n01917289 brain_coral', 'probability': 0.03427279472351074}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.5953902435302735;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.5953902435302735}, {'class': 'n01514668 cock', 'probability': 0.40361259460449217}, {'class': 'n01798484 prairie_chicken', 'probability': 0.0003418055549263954}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.0002088484726846218}, {'class': 'n01807496 partridge', 'probability': 5.442109424620867e-05}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.9178741455078125;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.9178741455078125}, {'class': 'n01514668 cock', 'probability': 0.08197065353393555}, {'class': 'n01807496 partridge', 'probability': 4.476625472307205e-05}, {'class': 'n01795545 black_grouse', 'probability': 4.075800534337759e-05}, {'class': 'n02017213 European_gallinule', 'probability': 2.2645040880888702e-05}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.7634082794189453;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.7634082794189453}, {'class': 'n01531178 goldfinch', 'probability': 0.12685669898986818}, {'class': 'n01534433 junco', 'probability': 0.09351489067077637}, {'class': 'n01532829 house_finch', 'probability': 0.009537144303321839}, {'class': 'n01601694 water_ouzel', 'probability': 0.0012439416348934173}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9994081115722656;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9994081115722656}, {'class': 'n01558993 robin', 'probability': 0.0004984936118125915}, {'class': 'n01531178 goldfinch', 'probability': 3.136836225166917e-05}, {'class': 'n01534433 junco', 'probability': 2.1632148418575524e-05}, {'class': 'n01532829 house_finch', 'probability': 9.240267099812626e-06}]
../dataset/ALine/n01531178/ILSVRC2012_val_00000570.JPEG;0.9999407196044922;n01531178 goldfinch;n01531178;[{'class': 'n01531178 goldfinch', 'probability': 0.9999407196044922}, {'class': 'n01530575 brambling', 'probability': 4.470659419894218e-05}, {'class': 'n01537544 indigo_bunting', 'probability': 3.999518521595746e-06}, {'class': 'n01532829 house_finch', 'probability': 2.1288369316607713e-06}, {'class': 'n01828970 bee_eater', 'probability': 1.4835027104709297e-06}]
../dataset/ALine/n01532829/ILSVRC2012_val_00000873.JPEG;0.9583973693847656;n01532829 house_finch;n01532829;[{'class': 'n01532829 house_finch', 'probability': 0.9583973693847656}, {'class': 'n01592084 chickadee', 'probability': 0.011714622974395753}, {'class': 'n01537544 indigo_bunting', 'probability': 0.0060848605632781985}, {'class': 'n01530575 brambling', 'probability': 0.004539279639720917}, {'class': 'n01833805 hummingbird', 'probability': 0.004293373227119446}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000247.JPEG;0.9994882202148437;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.9994882202148437}, {'class': 'n01530575 brambling', 'probability': 0.00016490187495946885}, {'class': 'n01592084 chickadee', 'probability': 0.00014765883795917034}, {'class': 'n01601694 water_ouzel', 'probability': 7.630196399986744e-05}, {'class': 'n01537544 indigo_bunting', 'probability': 3.343988908454776e-05}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000713.JPEG;0.99984619140625;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.99984619140625}, {'class': 'n01560419 bulbul', 'probability': 4.2719985358417035e-05}, {'class': 'n01601694 water_ouzel', 'probability': 1.8808350432664156e-05}, {'class': 'n01592084 chickadee', 'probability': 1.2265981640666723e-05}, {'class': 'n01531178 goldfinch', 'probability': 1.1241179890930653e-05}]
../dataset/ALine/n01537544/ILSVRC2012_val_00000414.JPEG;0.9992565155029297;n01537544 indigo_bunting;n01537544;[{'class': 'n01537544 indigo_bunting', 'probability': 0.9992565155029297}, {'class': 'n01828970 bee_eater', 'probability': 0.00047469157725572587}, {'class': 'n01580077 jay', 'probability': 6.910592317581177e-05}, {'class': 'n02017213 European_gallinule', 'probability': 5.7682041078805926e-05}, {'class': 'n01818515 macaw', 'probability': 2.394770970568061e-05}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000198.JPEG;0.9989759063720703;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9989759063720703}, {'class': 'n01828970 bee_eater', 'probability': 0.0003040644526481628}, {'class': 'n01833805 hummingbird', 'probability': 0.0001983368583023548}, {'class': 'n01843065 jacamar', 'probability': 0.000154990516602993}, {'class': 'n01824575 coucal', 'probability': 8.854740299284458e-05}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000217.JPEG;0.9999711608886719;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9999711608886719}, {'class': 'n01580077 jay', 'probability': 1.6722608124837278e-05}, {'class': 'n01824575 coucal', 'probability': 2.544693124946207e-06}, {'class': 'n01592084 chickadee', 'probability': 1.194350261357613e-06}, {'class': 'n02105162 malinois', 'probability': 1.156726648332551e-06}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000439.JPEG;0.998612060546875;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.998612060546875}, {'class': 'n01580077 jay', 'probability': 0.0009742524474859237}, {'class': 'n01601694 water_ouzel', 'probability': 0.00016078822314739228}, {'class': 'n01592084 chickadee', 'probability': 9.312747977674007e-05}, {'class': 'n01558993 robin', 'probability': 3.896875539794564e-05}]
