image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.7258000946044922;n02641379 gar;n01440764;[{'class': 'n02641379 gar', 'probability': 0.7258000946044922}, {'class': 'n02640242 sturgeon', 'probability': 0.10818159103393554}, {'class': 'n02536864 coho', 'probability': 0.08015327453613282}, {'class': 'n01695060 Komodo_dragon', 'probability': 0.024649999141693114}, {'class': 'n01677366 common_iguana', 'probability': 0.01122084617614746}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.9971005249023438;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.9971005249023438}, {'class': 'n01914609 sea_anemone', 'probability': 0.001353657692670822}, {'class': 'n01924916 flatworm', 'probability': 0.0007803075015544892}, {'class': 'n01943899 conch', 'probability': 0.00019661888480186464}, {'class': 'n02607072 anemone_fish', 'probability': 7.933786138892174e-05}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.9966997528076171;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9966997528076171}, {'class': 'n01910747 jellyfish', 'probability': 0.0014483450353145598}, {'class': 'n09256479 coral_reef', 'probability': 0.0008462531119585037}, {'class': 'n02655020 puffer', 'probability': 0.00019945962354540826}, {'class': 'n01632777 axolotl', 'probability': 0.00013067353516817094}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9999811553955078;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999811553955078}, {'class': 'n02607072 anemone_fish', 'probability': 1.3014174764975906e-05}, {'class': 'n01440764 tench', 'probability': 4.145101993344724e-06}, {'class': 'n09256479 coral_reef', 'probability': 8.321492350660265e-07}, {'class': 'n02606052 rock_beauty', 'probability': 7.771574018988758e-07}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999807739257812;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999807739257812}, {'class': 'n02607072 anemone_fish', 'probability': 1.3923021033406257e-05}, {'class': 'n02606052 rock_beauty', 'probability': 3.933210391551256e-06}, {'class': 'n09256479 coral_reef', 'probability': 1.0713677329476923e-06}, {'class': 'n01440764 tench', 'probability': 1.690065073489677e-07}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.3391013336181641;n01978455 rock_crab;n01496331;[{'class': 'n01978455 rock_crab', 'probability': 0.3391013336181641}, {'class': 'n02321529 sea_cucumber', 'probability': 0.15201446533203125}, {'class': 'n01955084 chiton', 'probability': 0.14149511337280274}, {'class': 'n01496331 electric_ray', 'probability': 0.11468997955322266}, {'class': 'n01978287 Dungeness_crab', 'probability': 0.03637431144714356}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.8646337127685547;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.8646337127685547}, {'class': 'n01514668 cock', 'probability': 0.11836915969848633}, {'class': 'n01807496 partridge', 'probability': 0.00838792860507965}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.003227361738681793}, {'class': 'n07768694 pomegranate', 'probability': 0.0019622187316417693}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.8395793151855468;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.8395793151855468}, {'class': 'n01514668 cock', 'probability': 0.15965138435363768}, {'class': 'n01860187 black_swan', 'probability': 0.00023968350142240525}, {'class': 'n01806143 peacock', 'probability': 0.000197276771068573}, {'class': 'n01855672 goose', 'probability': 0.00017779214307665824}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.483287467956543;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.483287467956543}, {'class': 'n01534433 junco', 'probability': 0.44455490112304685}, {'class': 'n02027492 red-backed_sandpiper', 'probability': 0.038617095947265624}, {'class': 'n01531178 goldfinch', 'probability': 0.012792909145355224}, {'class': 'n02025239 ruddy_turnstone', 'probability': 0.011581759452819824}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9999996185302734;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9999996185302734}, {'class': 'n01558993 robin', 'probability': 2.390935878793243e-07}, {'class': 'n01534433 junco', 'probability': 1.7861335436464287e-07}, {'class': 'n01592084 chickadee', 'probability': 2.492448558655269e-10}, {'class': 'n01531178 goldfinch', 'probability': 2.211824678965968e-10}]
