image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.2938786697387695;n02641379 gar;n01440764;[{'class': 'n02641379 gar', 'probability': 0.2938786697387695}, {'class': 'n02640242 sturgeon', 'probability': 0.276343994140625}, {'class': 'n02536864 coho', 'probability': 0.22192499160766602}, {'class': 'n02514041 barracouta', 'probability': 0.08788800239562988}, {'class': 'n01440764 tench', 'probability': 0.04252495765686035}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.979910888671875;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.979910888671875}, {'class': 'n01924916 flatworm', 'probability': 0.006567200422286987}, {'class': 'n01632777 axolotl', 'probability': 0.004151507318019867}, {'class': 'n01914609 sea_anemone', 'probability': 0.003689814805984497}, {'class': 'n01443537 goldfish', 'probability': 0.002136884331703186}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.9990916442871094;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9990916442871094}, {'class': 'n02317335 starfish', 'probability': 0.00021114230155944825}, {'class': 'n09256479 coral_reef', 'probability': 0.0001919017732143402}, {'class': 'n01632777 axolotl', 'probability': 6.862680893391371e-05}, {'class': 'n02607072 anemone_fish', 'probability': 6.637490820139646e-05}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9999972534179687;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999972534179687}, {'class': 'n01440764 tench', 'probability': 2.434315538266674e-06}, {'class': 'n02641379 gar', 'probability': 2.2740256099496038e-07}, {'class': 'n02607072 anemone_fish', 'probability': 5.639203664031811e-08}, {'class': 'n02536864 coho', 'probability': 5.539875928661786e-08}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.9994539642333984;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9994539642333984}, {'class': 'n02607072 anemone_fish', 'probability': 0.0005054035037755966}, {'class': 'n02606052 rock_beauty', 'probability': 1.9430809188634158e-05}, {'class': 'n01440764 tench', 'probability': 1.6504054656252265e-05}, {'class': 'n09256479 coral_reef', 'probability': 2.816642227116972e-06}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.406574592590332;n02321529 sea_cucumber;n01496331;[{'class': 'n02321529 sea_cucumber', 'probability': 0.406574592590332}, {'class': 'n01496331 electric_ray', 'probability': 0.18422428131103516}, {'class': 'n01955084 chiton', 'probability': 0.1693851661682129}, {'class': 'n02526121 eel', 'probability': 0.02377746343612671}, {'class': 'n01924916 flatworm', 'probability': 0.01706918478012085}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.7529987335205078;n01514668 cock;n01514668;[{'class': 'n01514668 cock', 'probability': 0.7529987335205078}, {'class': 'n01514859 hen', 'probability': 0.24532564163208007}, {'class': 'n01798484 prairie_chicken', 'probability': 0.00026766225695610044}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.0002316860854625702}, {'class': 'n04259630 sombrero', 'probability': 0.00015056676231324672}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.6962275695800781;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.6962275695800781}, {'class': 'n01514668 cock', 'probability': 0.3024757766723633}, {'class': 'n01807496 partridge', 'probability': 0.0007901055365800857}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.00016296464949846267}, {'class': 'n01855672 goose', 'probability': 8.00180621445179e-05}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.5119625473022461;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.5119625473022461}, {'class': 'n01534433 junco', 'probability': 0.35304553985595705}, {'class': 'n01531178 goldfinch', 'probability': 0.09819645881652832}, {'class': 'n01532829 house_finch', 'probability': 0.008416672348976134}, {'class': 'n01560419 bulbul', 'probability': 0.003870086967945099}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9998313140869141;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9998313140869141}, {'class': 'n01558993 robin', 'probability': 0.00014720510691404343}, {'class': 'n01534433 junco', 'probability': 1.8798743840307e-05}, {'class': 'n04604644 worm_fence', 'probability': 6.734644557582214e-07}, {'class': 'n01532829 house_finch', 'probability': 6.347457383526489e-07}]
