image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.7277879333496093;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.7277879333496093}, {'class': 'n02441942 weasel', 'probability': 0.13965948104858397}, {'class': 'n02443114 polecat', 'probability': 0.10195882797241211}, {'class': 'n02442845 mink', 'probability': 0.030306284427642823}, {'class': 'n02445715 skunk', 'probability': 0.00012835131026804448}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.6130863952636719;n02441942 weasel;n02443484;[{'class': 'n02441942 weasel', 'probability': 0.6130863952636719}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.3261846160888672}, {'class': 'n02443114 polecat', 'probability': 0.0493596363067627}, {'class': 'n02442845 mink', 'probability': 0.010535262823104859}, {'class': 'n02342885 hamster', 'probability': 0.0007348926365375518}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.614720458984375;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.614720458984375}, {'class': 'n02441942 weasel', 'probability': 0.33050830841064455}, {'class': 'n02443114 polecat', 'probability': 0.03336964845657349}, {'class': 'n02808304 bath_towel', 'probability': 0.01867762804031372}, {'class': 'n02442845 mink', 'probability': 0.001382519006729126}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.5923471450805664;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5923471450805664}, {'class': 'n02443114 polecat', 'probability': 0.34342437744140625}, {'class': 'n02441942 weasel', 'probability': 0.06049994945526123}, {'class': 'n02442845 mink', 'probability': 0.003306410908699036}, {'class': 'n02447366 badger', 'probability': 0.00010530232451856136}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.599537353515625;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.599537353515625}, {'class': 'n02443114 polecat', 'probability': 0.15410380363464354}, {'class': 'n02441942 weasel', 'probability': 0.06335091590881348}, {'class': 'n02442845 mink', 'probability': 0.04791317939758301}, {'class': 'n02445715 skunk', 'probability': 0.024758682250976563}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.5115960311889648;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.5115960311889648}, {'class': 'n02536864 coho', 'probability': 0.38631839752197267}, {'class': 'n02514041 barracouta', 'probability': 0.02431274652481079}, {'class': 'n02641379 gar', 'probability': 0.022099945545196533}, {'class': 'n02927161 butcher_shop', 'probability': 0.010065557956695557}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.893109130859375;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.893109130859375}, {'class': 'n02640242 sturgeon', 'probability': 0.05335946559906006}, {'class': 'n02514041 barracouta', 'probability': 0.02224593162536621}, {'class': 'n02536864 coho', 'probability': 0.011025165319442748}, {'class': 'n02641379 gar', 'probability': 0.0046200016140937805}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9897077941894531;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9897077941894531}, {'class': 'n02074367 dugong', 'probability': 0.004268257319927216}, {'class': 'n02526121 eel', 'probability': 0.002347652316093445}, {'class': 'n02514041 barracouta', 'probability': 0.0013191360235214234}, {'class': 'n01491361 tiger_shark', 'probability': 0.0009668350964784622}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9555218505859375;n01440764 tench;n01443537;[{'class': 'n01440764 tench', 'probability': 0.9555218505859375}, {'class': 'n01443537 goldfish', 'probability': 0.02583336114883423}, {'class': 'n02606052 rock_beauty', 'probability': 0.010855293273925782}, {'class': 'n02655020 puffer', 'probability': 0.004232708811759949}, {'class': 'n02514041 barracouta', 'probability': 0.0011745314300060272}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.22042503356933593;n02815834 beaker;n01443537;[{'class': 'n02815834 beaker', 'probability': 0.22042503356933593}, {'class': 'n03207941 dishwasher', 'probability': 0.17136802673339843}, {'class': 'n04070727 refrigerator', 'probability': 0.059740033149719235}, {'class': 'n04560804 water_jug', 'probability': 0.046422600746154785}, {'class': 'n03461385 grocery_store', 'probability': 0.034961626529693604}]
