image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.7794023895263672;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.7794023895263672}, {'class': 'n02441942 weasel', 'probability': 0.09255698204040527}, {'class': 'n02443114 polecat', 'probability': 0.09016886711120606}, {'class': 'n02442845 mink', 'probability': 0.03746679782867432}, {'class': 'n02342885 hamster', 'probability': 0.00034472145140171053}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.599128189086914;n02441942 weasel;n02443484;[{'class': 'n02441942 weasel', 'probability': 0.599128189086914}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.2153324317932129}, {'class': 'n02443114 polecat', 'probability': 0.17432266235351562}, {'class': 'n02442845 mink', 'probability': 0.008104564547538757}, {'class': 'n02342885 hamster', 'probability': 0.0025878286361694335}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.5446821594238281;n02441942 weasel;n02443484;[{'class': 'n02441942 weasel', 'probability': 0.5446821594238281}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.3999760055541992}, {'class': 'n02808304 bath_towel', 'probability': 0.03856972932815552}, {'class': 'n02443114 polecat', 'probability': 0.014436129331588745}, {'class': 'n02342885 hamster', 'probability': 0.0007840628176927567}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.6218620681762695;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.6218620681762695}, {'class': 'n02443114 polecat', 'probability': 0.27230379104614255}, {'class': 'n02441942 weasel', 'probability': 0.10287820816040039}, {'class': 'n02442845 mink', 'probability': 0.0023151127994060516}, {'class': 'n02509815 lesser_panda', 'probability': 0.00025812506675720214}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.47448490142822264;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.47448490142822264}, {'class': 'n02443114 polecat', 'probability': 0.26709737777709963}, {'class': 'n02442845 mink', 'probability': 0.1375252342224121}, {'class': 'n02441942 weasel', 'probability': 0.10969058990478515}, {'class': 'n02364673 guinea_pig', 'probability': 0.0024871130287647245}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.7774509429931641;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.7774509429931641}, {'class': 'n01440764 tench', 'probability': 0.14021576881408693}, {'class': 'n04067472 reel', 'probability': 0.03279389858245849}, {'class': 'n02514041 barracouta', 'probability': 0.011695232391357422}, {'class': 'n02927161 butcher_shop', 'probability': 0.004738613367080689}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.8378594207763672;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.8378594207763672}, {'class': 'n02536864 coho', 'probability': 0.13466729164123536}, {'class': 'n02514041 barracouta', 'probability': 0.006750384569168091}, {'class': 'n02640242 sturgeon', 'probability': 0.0019256609678268432}, {'class': 'n01873310 platypus', 'probability': 0.0010813089460134505}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9531241607666016;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9531241607666016}, {'class': 'n01632777 axolotl', 'probability': 0.022261435985565185}, {'class': 'n02514041 barracouta', 'probability': 0.006096917390823364}, {'class': 'n02526121 eel', 'probability': 0.0031752189993858337}, {'class': 'n02536864 coho', 'probability': 0.0019982226192951204}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.8832179260253906;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.8832179260253906}, {'class': 'n01440764 tench', 'probability': 0.09508381843566895}, {'class': 'n02655020 puffer', 'probability': 0.00880659282207489}, {'class': 'n02606052 rock_beauty', 'probability': 0.0032112035155296326}, {'class': 'n02514041 barracouta', 'probability': 0.00296026349067688}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.5690553283691406;n03207941 dishwasher;n01443537;[{'class': 'n03207941 dishwasher', 'probability': 0.5690553283691406}, {'class': 'n04070727 refrigerator', 'probability': 0.08482995986938477}, {'class': 'n02927161 butcher_shop', 'probability': 0.06910412788391113}, {'class': 'n04554684 washer', 'probability': 0.04409970283508301}, {'class': 'n03924679 photocopier', 'probability': 0.03875093221664429}]
