image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.33399173736572263;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.33399173736572263}, {'class': 'n02442845 mink', 'probability': 0.2684830665588379}, {'class': 'n02443114 polecat', 'probability': 0.14518451690673828}, {'class': 'n02441942 weasel', 'probability': 0.12353830337524414}, {'class': 'n02342885 hamster', 'probability': 0.05628322601318359}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.5640444183349609;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5640444183349609}, {'class': 'n02441942 weasel', 'probability': 0.35967777252197264}, {'class': 'n02443114 polecat', 'probability': 0.05384067058563233}, {'class': 'n02342885 hamster', 'probability': 0.015422401428222656}, {'class': 'n02442845 mink', 'probability': 0.0044958129525184635}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.20503562927246094;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.20503562927246094}, {'class': 'n02441942 weasel', 'probability': 0.19424716949462892}, {'class': 'n02443114 polecat', 'probability': 0.11738317489624023}, {'class': 'n02444819 otter', 'probability': 0.06447531223297119}, {'class': 'n02808304 bath_towel', 'probability': 0.058100376129150394}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.8066891479492188;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.8066891479492188}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.13291578292846679}, {'class': 'n02441942 weasel', 'probability': 0.053971357345581054}, {'class': 'n02442845 mink', 'probability': 0.006209740042686462}, {'class': 'n02444819 otter', 'probability': 0.00017343198880553245}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.46792354583740237;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.46792354583740237}, {'class': 'n02443114 polecat', 'probability': 0.3651678848266602}, {'class': 'n02441942 weasel', 'probability': 0.12755990028381348}, {'class': 'n02442845 mink', 'probability': 0.03349938154220581}, {'class': 'n02447366 badger', 'probability': 0.002739700973033905}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.6590873718261718;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.6590873718261718}, {'class': 'n03843555 oil_filter', 'probability': 0.03889670610427856}, {'class': 'n01494475 hammerhead', 'probability': 0.03843137741088867}, {'class': 'n04090263 rifle', 'probability': 0.02302053689956665}, {'class': 'n01491361 tiger_shark', 'probability': 0.02159912347793579}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.5318473434448242;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.5318473434448242}, {'class': 'n01440764 tench', 'probability': 0.3067912483215332}, {'class': 'n02640242 sturgeon', 'probability': 0.09635613441467285}, {'class': 'n02514041 barracouta', 'probability': 0.02768136739730835}, {'class': 'n02526121 eel', 'probability': 0.024482622146606445}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.797787094116211;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.797787094116211}, {'class': 'n02526121 eel', 'probability': 0.1549997615814209}, {'class': 'n02514041 barracouta', 'probability': 0.01703564643859863}, {'class': 'n01632777 axolotl', 'probability': 0.015470225811004639}, {'class': 'n02536864 coho', 'probability': 0.009531930088996887}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.3520404815673828;n02655020 puffer;n01443537;[{'class': 'n02655020 puffer', 'probability': 0.3520404815673828}, {'class': 'n01440764 tench', 'probability': 0.25871313095092774}, {'class': 'n02606052 rock_beauty', 'probability': 0.058328404426574706}, {'class': 'n01494475 hammerhead', 'probability': 0.04409443378448486}, {'class': 'n02526121 eel', 'probability': 0.043338050842285154}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.051777400970458985;n02927161 butcher_shop;n01443537;[{'class': 'n02927161 butcher_shop', 'probability': 0.051777400970458985}, {'class': 'n04442312 toaster', 'probability': 0.04775647640228271}, {'class': 'n02815834 beaker', 'probability': 0.03966121435165405}, {'class': 'n03207941 dishwasher', 'probability': 0.03569345474243164}, {'class': 'n04111531 rotisserie', 'probability': 0.022886016368865968}]
