image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.18165950775146483;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.18165950775146483}, {'class': 'n03207941 dishwasher', 'probability': 0.07834969997406006}, {'class': 'n02443114 polecat', 'probability': 0.06432700157165527}, {'class': 'n02120079 Arctic_fox', 'probability': 0.05832987785339355}, {'class': 'n04501370 turnstile', 'probability': 0.05522945880889893}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.07599928855895996;n03494278 harmonica;n02443484;[{'class': 'n03494278 harmonica', 'probability': 0.07599928855895996}, {'class': 'n04270147 spatula', 'probability': 0.06814292907714843}, {'class': 'n02786058 Band_Aid', 'probability': 0.06617923736572266}, {'class': 'n07615774 ice_lolly', 'probability': 0.05050692081451416}, {'class': 'n03110669 cornet', 'probability': 0.03040438413619995}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.2409316635131836;n02123394 Persian_cat;n02443484;[{'class': 'n02123394 Persian_cat', 'probability': 0.2409316635131836}, {'class': 'n02441942 weasel', 'probability': 0.19027063369750977}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.11819964408874511}, {'class': 'n04399382 teddy', 'probability': 0.09190319061279296}, {'class': 'n02443114 polecat', 'probability': 0.07872029304504395}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.42981437683105467;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.42981437683105467}, {'class': 'n02443114 polecat', 'probability': 0.406966438293457}, {'class': 'n02441942 weasel', 'probability': 0.1457977771759033}, {'class': 'n02509815 lesser_panda', 'probability': 0.009562913179397583}, {'class': 'n02490219 marmoset', 'probability': 0.001305917203426361}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.7091070556640625;n02510455 giant_panda;n02443484;[{'class': 'n02510455 giant_panda', 'probability': 0.7091070556640625}, {'class': 'n02443114 polecat', 'probability': 0.16441688537597657}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.045182924270629886}, {'class': 'n02442845 mink', 'probability': 0.027255454063415528}, {'class': 'n02441942 weasel', 'probability': 0.023595705032348632}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.08333431243896484;n03633091 ladle;n01440764;[{'class': 'n03633091 ladle', 'probability': 0.08333431243896484}, {'class': 'n03481172 hammer', 'probability': 0.06788358211517334}, {'class': 'n03124043 cowboy_boot', 'probability': 0.03510404825210571}, {'class': 'n02514041 barracouta', 'probability': 0.03161029577255249}, {'class': 'n01985128 crayfish', 'probability': 0.0219891619682312}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.42829795837402346;n02640242 sturgeon;n01440764;[{'class': 'n02640242 sturgeon', 'probability': 0.42829795837402346}, {'class': 'n03250847 drumstick', 'probability': 0.10846753120422363}, {'class': 'n02676566 acoustic_guitar', 'probability': 0.032215147018432616}, {'class': 'n07860988 dough', 'probability': 0.024232101440429688}, {'class': 'n02787622 banjo', 'probability': 0.019590543508529665}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.14016855239868165;n04597913 wooden_spoon;n01440764;[{'class': 'n04597913 wooden_spoon', 'probability': 0.14016855239868165}, {'class': 'n02536864 coho', 'probability': 0.11383011817932129}, {'class': 'n03127747 crash_helmet', 'probability': 0.06740816116333008}, {'class': 'n02526121 eel', 'probability': 0.05640128612518311}, {'class': 'n07860988 dough', 'probability': 0.04308781147003174}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.1583895969390869;n02791270 barbershop;n01443537;[{'class': 'n02791270 barbershop', 'probability': 0.1583895969390869}, {'class': 'n03825788 nipple', 'probability': 0.0831494140625}, {'class': 'n01494475 hammerhead', 'probability': 0.07070382595062256}, {'class': 'n03494278 harmonica', 'probability': 0.031027905941009522}, {'class': 'n02786058 Band_Aid', 'probability': 0.029302399158477783}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.04002304553985596;n01494475 hammerhead;n01443537;[{'class': 'n01494475 hammerhead', 'probability': 0.04002304553985596}, {'class': 'n04141076 sax', 'probability': 0.036586451530456546}, {'class': 'n03498962 hatchet', 'probability': 0.03572962522506714}, {'class': 'n03788365 mosquito_net', 'probability': 0.035706207752227784}, {'class': 'n01704323 triceratops', 'probability': 0.03563323974609375}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.25626760482788086;n01990800 isopod;n01443537;[{'class': 'n01990800 isopod', 'probability': 0.25626760482788086}, {'class': 'n01704323 triceratops', 'probability': 0.23200496673583984}, {'class': 'n02640242 sturgeon', 'probability': 0.14322857856750487}, {'class': 'n07734744 mushroom', 'probability': 0.08621685981750488}, {'class': 'n02454379 armadillo', 'probability': 0.05936985015869141}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.38420509338378905;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.38420509338378905}, {'class': 'n01491361 tiger_shark', 'probability': 0.16199264526367188}, {'class': 'n04493381 tub', 'probability': 0.08770491600036621}, {'class': 'n01494475 hammerhead', 'probability': 0.060047941207885744}, {'class': 'n02807133 bathing_cap', 'probability': 0.04352067947387695}]
