image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.5292225646972656;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5292225646972656}, {'class': 'n02443114 polecat', 'probability': 0.21993173599243165}, {'class': 'n02342885 hamster', 'probability': 0.1495784568786621}, {'class': 'n02442845 mink', 'probability': 0.0687402105331421}, {'class': 'n02441942 weasel', 'probability': 0.023193039894104005}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.58258056640625;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.58258056640625}, {'class': 'n02441942 weasel', 'probability': 0.2699250030517578}, {'class': 'n02443114 polecat', 'probability': 0.11136063575744629}, {'class': 'n02442845 mink', 'probability': 0.021640186309814454}, {'class': 'n02342885 hamster', 'probability': 0.012917659282684325}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.3996003723144531;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.3996003723144531}, {'class': 'n02441942 weasel', 'probability': 0.3618512725830078}, {'class': 'n02808304 bath_towel', 'probability': 0.07471439838409424}, {'class': 'n02443114 polecat', 'probability': 0.05141391277313232}, {'class': 'n02442845 mink', 'probability': 0.050018811225891115}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.6072596740722657;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.6072596740722657}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.3404164505004883}, {'class': 'n02441942 weasel', 'probability': 0.04733491897583008}, {'class': 'n02442845 mink', 'probability': 0.00462841808795929}, {'class': 'n02444819 otter', 'probability': 0.00015997953712940216}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.4779246520996094;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.4779246520996094}, {'class': 'n02443114 polecat', 'probability': 0.34209068298339845}, {'class': 'n02441942 weasel', 'probability': 0.1657985496520996}, {'class': 'n02442845 mink', 'probability': 0.013039186000823974}, {'class': 'n02120079 Arctic_fox', 'probability': 0.0005763142183423043}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9038727569580078;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.9038727569580078}, {'class': 'n01491361 tiger_shark', 'probability': 0.024733221530914305}, {'class': 'n02514041 barracouta', 'probability': 0.015847659111022948}, {'class': 'n01494475 hammerhead', 'probability': 0.01462680459022522}, {'class': 'n04067472 reel', 'probability': 0.013106858730316162}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.5430845642089843;n02640242 sturgeon;n01440764;[{'class': 'n02640242 sturgeon', 'probability': 0.5430845642089843}, {'class': 'n01440764 tench', 'probability': 0.2555721473693848}, {'class': 'n02536864 coho', 'probability': 0.10344302177429199}, {'class': 'n01491361 tiger_shark', 'probability': 0.02464487314224243}, {'class': 'n02514041 barracouta', 'probability': 0.02414789915084839}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.5738621520996093;n02526121 eel;n01440764;[{'class': 'n02526121 eel', 'probability': 0.5738621520996093}, {'class': 'n01440764 tench', 'probability': 0.13901736259460448}, {'class': 'n01930112 nematode', 'probability': 0.12027369499206543}, {'class': 'n02641379 gar', 'probability': 0.0372568154335022}, {'class': 'n02514041 barracouta', 'probability': 0.03417088031768799}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.4326891708374023;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.4326891708374023}, {'class': 'n01440764 tench', 'probability': 0.41795013427734373}, {'class': 'n01632777 axolotl', 'probability': 0.023825607299804687}, {'class': 'n01873310 platypus', 'probability': 0.018284164667129517}, {'class': 'n02051845 pelican', 'probability': 0.014009824991226195}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.5615730285644531;n03207941 dishwasher;n01443537;[{'class': 'n03207941 dishwasher', 'probability': 0.5615730285644531}, {'class': 'n02815834 beaker', 'probability': 0.23268331527709962}, {'class': 'n03788365 mosquito_net', 'probability': 0.037289164066314696}, {'class': 'n04141076 sax', 'probability': 0.03546367645263672}, {'class': 'n02927161 butcher_shop', 'probability': 0.012157829999923707}]
