image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.4198921203613281;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.4198921203613281}, {'class': 'n02342885 hamster', 'probability': 0.19900346755981446}, {'class': 'n02441942 weasel', 'probability': 0.17065685272216796}, {'class': 'n02443114 polecat', 'probability': 0.14377574920654296}, {'class': 'n02442845 mink', 'probability': 0.06616053104400635}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.6349744033813477;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.6349744033813477}, {'class': 'n02441942 weasel', 'probability': 0.2993748092651367}, {'class': 'n02443114 polecat', 'probability': 0.05580747604370117}, {'class': 'n02442845 mink', 'probability': 0.00890157163143158}, {'class': 'n02342885 hamster', 'probability': 0.000285891517996788}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.4836520004272461;n02808304 bath_towel;n02443484;[{'class': 'n02808304 bath_towel', 'probability': 0.4836520004272461}, {'class': 'n02441942 weasel', 'probability': 0.34007041931152343}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.13701369285583495}, {'class': 'n02442845 mink', 'probability': 0.016983425617218016}, {'class': 'n02443114 polecat', 'probability': 0.009034153819084168}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.6380882263183594;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.6380882263183594}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.3096175193786621}, {'class': 'n02441942 weasel', 'probability': 0.04678436756134033}, {'class': 'n02442845 mink', 'probability': 0.004476006031036377}, {'class': 'n02447366 badger', 'probability': 0.0005567200109362603}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.48367958068847655;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.48367958068847655}, {'class': 'n02443114 polecat', 'probability': 0.32147693634033203}, {'class': 'n02441942 weasel', 'probability': 0.09960050582885742}, {'class': 'n02442845 mink', 'probability': 0.08348706245422363}, {'class': 'n02445715 skunk', 'probability': 0.002636573314666748}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.46735218048095706;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.46735218048095706}, {'class': 'n04067472 reel', 'probability': 0.27220922470092773}, {'class': 'n01440764 tench', 'probability': 0.09178798675537109}, {'class': 'n02514041 barracouta', 'probability': 0.02583789825439453}, {'class': 'n03000684 chain_saw', 'probability': 0.02328406572341919}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.6884555816650391;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.6884555816650391}, {'class': 'n02536864 coho', 'probability': 0.1724522018432617}, {'class': 'n02514041 barracouta', 'probability': 0.037685937881469726}, {'class': 'n02640242 sturgeon', 'probability': 0.033878631591796875}, {'class': 'n02641379 gar', 'probability': 0.010091792345046997}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.8986013793945312;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.8986013793945312}, {'class': 'n02526121 eel', 'probability': 0.08389487266540527}, {'class': 'n02514041 barracouta', 'probability': 0.011223028898239135}, {'class': 'n01930112 nematode', 'probability': 0.001272432804107666}, {'class': 'n01945685 slug', 'probability': 0.0010338906198740006}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.5334656906127929;n01440764 tench;n01443537;[{'class': 'n01440764 tench', 'probability': 0.5334656906127929}, {'class': 'n01443537 goldfish', 'probability': 0.19237098693847657}, {'class': 'n02655020 puffer', 'probability': 0.16886306762695313}, {'class': 'n02606052 rock_beauty', 'probability': 0.03867033481597901}, {'class': 'n02514041 barracouta', 'probability': 0.014698280096054077}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.17172470092773437;n02927161 butcher_shop;n01443537;[{'class': 'n02927161 butcher_shop', 'probability': 0.17172470092773437}, {'class': 'n04111531 rotisserie', 'probability': 0.12044928550720214}, {'class': 'n02791270 barbershop', 'probability': 0.08997764587402343}, {'class': 'n04070727 refrigerator', 'probability': 0.0683823823928833}, {'class': 'n03958227 plastic_bag', 'probability': 0.05903576850891113}]
