image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.18606937408447266;n04070727 refrigerator;n02443484;[{'class': 'n04070727 refrigerator', 'probability': 0.18606937408447266}, {'class': 'n02342885 hamster', 'probability': 0.17242443084716796}, {'class': 'n04111531 rotisserie', 'probability': 0.10534186363220215}, {'class': 'n04501370 turnstile', 'probability': 0.10426203727722168}, {'class': 'n02978881 cassette', 'probability': 0.04915609836578369}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.137096586227417;n03494278 harmonica;n02443484;[{'class': 'n03494278 harmonica', 'probability': 0.137096586227417}, {'class': 'n07615774 ice_lolly', 'probability': 0.08807395935058594}, {'class': 'n04270147 spatula', 'probability': 0.07276715278625488}, {'class': 'n02791270 barbershop', 'probability': 0.06270779609680176}, {'class': 'n13133613 ear', 'probability': 0.05323545455932617}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.48530250549316406;n02441942 weasel;n02443484;[{'class': 'n02441942 weasel', 'probability': 0.48530250549316406}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.16068328857421876}, {'class': 'n02808304 bath_towel', 'probability': 0.08938017845153809}, {'class': 'n02442845 mink', 'probability': 0.055141935348510744}, {'class': 'n02113624 toy_poodle', 'probability': 0.04683192729949951}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.4345847702026367;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.4345847702026367}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.34121166229248046}, {'class': 'n02441942 weasel', 'probability': 0.17216041564941406}, {'class': 'n02509815 lesser_panda', 'probability': 0.013473308086395264}, {'class': 'n02488702 colobus', 'probability': 0.011413967609405518}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.6503814697265625;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.6503814697265625}, {'class': 'n02443114 polecat', 'probability': 0.2243075942993164}, {'class': 'n02441942 weasel', 'probability': 0.10151551246643066}, {'class': 'n02120079 Arctic_fox', 'probability': 0.005507091283798218}, {'class': 'n02105641 Old_English_sheepdog', 'probability': 0.005198240280151367}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.10253593444824219;n03481172 hammer;n01440764;[{'class': 'n03481172 hammer', 'probability': 0.10253593444824219}, {'class': 'n04153751 screw', 'probability': 0.04547544956207275}, {'class': 'n02536864 coho', 'probability': 0.043925752639770506}, {'class': 'n03908714 pencil_sharpener', 'probability': 0.03420347452163696}, {'class': 'n01980166 fiddler_crab', 'probability': 0.033654675483703614}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.15452744483947753;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.15452744483947753}, {'class': 'n01440764 tench', 'probability': 0.08677889823913575}, {'class': 'n02883205 bow_tie', 'probability': 0.07226962566375733}, {'class': 'n02640242 sturgeon', 'probability': 0.06500282287597656}, {'class': 'n01983481 American_lobster', 'probability': 0.04330819129943848}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.20393041610717774;n01728572 thunder_snake;n01440764;[{'class': 'n01728572 thunder_snake', 'probability': 0.20393041610717774}, {'class': 'n02526121 eel', 'probability': 0.14620383262634276}, {'class': 'n01740131 night_snake', 'probability': 0.07189411640167237}, {'class': 'n03047690 clog', 'probability': 0.03467357158660889}, {'class': 'n02910353 buckle', 'probability': 0.027833962440490724}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.448846321105957;n02051845 pelican;n01443537;[{'class': 'n02051845 pelican', 'probability': 0.448846321105957}, {'class': 'n01440764 tench', 'probability': 0.07036399841308594}, {'class': 'n02058221 albatross', 'probability': 0.053696179389953615}, {'class': 'n02074367 dugong', 'probability': 0.05245570659637451}, {'class': 'n02092339 Weimaraner', 'probability': 0.04285771369934082}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.09998568534851074;n03788365 mosquito_net;n01443537;[{'class': 'n03788365 mosquito_net', 'probability': 0.09998568534851074}, {'class': 'n01484850 great_white_shark', 'probability': 0.040050320625305176}, {'class': 'n04005630 prison', 'probability': 0.032867331504821774}, {'class': 'n04008634 projectile', 'probability': 0.02922645092010498}, {'class': 'n04310018 steam_locomotive', 'probability': 0.026973319053649903}]
