image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.4377661895751953;n02342885 hamster;n02443484;[{'class': 'n02342885 hamster', 'probability': 0.4377661895751953}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.1932127571105957}, {'class': 'n02441942 weasel', 'probability': 0.10439788818359375}, {'class': 'n02395406 hog', 'probability': 0.06319244861602784}, {'class': 'n02443114 polecat', 'probability': 0.05731809616088867}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.4459535598754883;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.4459535598754883}, {'class': 'n02441942 weasel', 'probability': 0.3409755706787109}, {'class': 'n02342885 hamster', 'probability': 0.11351125717163085}, {'class': 'n02443114 polecat', 'probability': 0.07236459732055664}, {'class': 'n02442845 mink', 'probability': 0.019295413494110108}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.599834861755371;n02808304 bath_towel;n02443484;[{'class': 'n02808304 bath_towel', 'probability': 0.599834861755371}, {'class': 'n02441942 weasel', 'probability': 0.0954085922241211}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.08183807373046875}, {'class': 'n02443114 polecat', 'probability': 0.044154601097106935}, {'class': 'n04399382 teddy', 'probability': 0.01377253293991089}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.6983380889892579;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.6983380889892579}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.19435546875}, {'class': 'n02441942 weasel', 'probability': 0.0829206371307373}, {'class': 'n02442845 mink', 'probability': 0.02049071788787842}, {'class': 'n02444819 otter', 'probability': 0.0023263499140739443}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.4757883071899414;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.4757883071899414}, {'class': 'n02443114 polecat', 'probability': 0.34138580322265627}, {'class': 'n02441942 weasel', 'probability': 0.09884437561035156}, {'class': 'n02442845 mink', 'probability': 0.07780879974365235}, {'class': 'n02445715 skunk', 'probability': 0.00110854372382164}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.7942572021484375;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.7942572021484375}, {'class': 'n02514041 barracouta', 'probability': 0.05348737239837646}, {'class': 'n03843555 oil_filter', 'probability': 0.022746987342834472}, {'class': 'n01440764 tench', 'probability': 0.02005896806716919}, {'class': 'n01494475 hammerhead', 'probability': 0.013850492238998414}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.16055042266845704;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.16055042266845704}, {'class': 'n02640242 sturgeon', 'probability': 0.15218753814697267}, {'class': 'n01494475 hammerhead', 'probability': 0.08131927490234375}, {'class': 'n04376876 syringe', 'probability': 0.037884678840637204}, {'class': 'n01440764 tench', 'probability': 0.035390264987945556}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.4741178512573242;n02514041 barracouta;n01440764;[{'class': 'n02514041 barracouta', 'probability': 0.4741178512573242}, {'class': 'n01440764 tench', 'probability': 0.22695981979370117}, {'class': 'n02536864 coho', 'probability': 0.1463651943206787}, {'class': 'n02641379 gar', 'probability': 0.11103276252746581}, {'class': 'n02526121 eel', 'probability': 0.035893995761871335}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.2523682975769043;n01440764 tench;n01443537;[{'class': 'n01440764 tench', 'probability': 0.2523682975769043}, {'class': 'n02074367 dugong', 'probability': 0.22813888549804687}, {'class': 'n02655020 puffer', 'probability': 0.11344925880432129}, {'class': 'n02606052 rock_beauty', 'probability': 0.09204168319702148}, {'class': 'n02526121 eel', 'probability': 0.0884555435180664}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.09853500366210938;n02815834 beaker;n01443537;[{'class': 'n02815834 beaker', 'probability': 0.09853500366210938}, {'class': 'n03788365 mosquito_net', 'probability': 0.06958063125610352}, {'class': 'n03733805 measuring_cup', 'probability': 0.03572498321533203}, {'class': 'n01484850 great_white_shark', 'probability': 0.03003540515899658}, {'class': 'n04442312 toaster', 'probability': 0.02726572275161743}]
