image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.08413278579711914;n02490219 marmoset;n02443484;[{'class': 'n02490219 marmoset', 'probability': 0.08413278579711914}, {'class': 'n02492035 capuchin', 'probability': 0.08266120910644531}, {'class': 'n02363005 beaver', 'probability': 0.07735765933990478}, {'class': 'n02481823 chimpanzee', 'probability': 0.0678300428390503}, {'class': 'n02120079 Arctic_fox', 'probability': 0.04040104866027832}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.17362136840820314;n01882714 koala;n02443484;[{'class': 'n01882714 koala', 'probability': 0.17362136840820314}, {'class': 'n02091032 Italian_greyhound', 'probability': 0.08435806274414062}, {'class': 'n01883070 wombat', 'probability': 0.07214646816253661}, {'class': 'n03902125 pay-phone', 'probability': 0.02460378408432007}, {'class': 'n02085620 Chihuahua', 'probability': 0.020321133136749266}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.10290412902832032;n04399382 teddy;n02443484;[{'class': 'n04399382 teddy', 'probability': 0.10290412902832032}, {'class': 'n02124075 Egyptian_cat', 'probability': 0.09419466018676757}, {'class': 'n02447366 badger', 'probability': 0.09041608810424805}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.08088584899902344}, {'class': 'n02808304 bath_towel', 'probability': 0.07875101089477539}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.5110790252685546;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.5110790252685546}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.3809806823730469}, {'class': 'n02441942 weasel', 'probability': 0.09782639503479004}, {'class': 'n02442845 mink', 'probability': 0.008095722794532776}, {'class': 'n02444819 otter', 'probability': 0.0013746966421604157}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.4285112380981445;n02364673 guinea_pig;n02443484;[{'class': 'n02364673 guinea_pig', 'probability': 0.4285112380981445}, {'class': 'n02443114 polecat', 'probability': 0.28004640579223633}, {'class': 'n02441942 weasel', 'probability': 0.06903175354003906}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.0564208984375}, {'class': 'n02120079 Arctic_fox', 'probability': 0.024141979217529298}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.8659126281738281;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.8659126281738281}, {'class': 'n01667114 mud_turtle', 'probability': 0.025232691764831543}, {'class': 'n02229544 cricket', 'probability': 0.015279303789138794}, {'class': 'n04067472 reel', 'probability': 0.013362096548080444}, {'class': 'n01669191 box_turtle', 'probability': 0.010042846202850342}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.29657745361328125;n02640242 sturgeon;n01440764;[{'class': 'n02640242 sturgeon', 'probability': 0.29657745361328125}, {'class': 'n02536864 coho', 'probability': 0.271030387878418}, {'class': 'n02514041 barracouta', 'probability': 0.23685773849487304}, {'class': 'n01440764 tench', 'probability': 0.1654798698425293}, {'class': 'n02641379 gar', 'probability': 0.021491148471832276}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9999964141845703;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9999964141845703}, {'class': 'n02526121 eel', 'probability': 2.645424974616617e-06}, {'class': 'n04067472 reel', 'probability': 4.662154969992116e-07}, {'class': 'n02514041 barracouta', 'probability': 2.368167224631179e-07}, {'class': 'n01945685 slug', 'probability': 1.4013797226652968e-07}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999876403808594;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999876403808594}, {'class': 'n02607072 anemone_fish', 'probability': 1.0229046456515789e-05}, {'class': 'n02007558 flamingo', 'probability': 1.4398075290955604e-06}, {'class': 'n02606052 rock_beauty', 'probability': 2.239412788185291e-07}, {'class': 'n01632777 axolotl', 'probability': 2.197936009906698e-07}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.2473868942260742;n04209239 shower_curtain;n01443537;[{'class': 'n04209239 shower_curtain', 'probability': 0.2473868942260742}, {'class': 'n03970156 plunger', 'probability': 0.03212788343429565}, {'class': 'n03876231 paintbrush', 'probability': 0.023403031826019285}, {'class': 'n03759954 microphone', 'probability': 0.022957115173339843}, {'class': 'n07248320 book_jacket', 'probability': 0.022055642604827883}]
