image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.590273666381836;n02441942 weasel;n02443484;[{'class': 'n02441942 weasel', 'probability': 0.590273666381836}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.3563529968261719}, {'class': 'n02443114 polecat', 'probability': 0.041372556686401364}, {'class': 'n02442845 mink', 'probability': 0.007065175771713257}, {'class': 'n02342885 hamster', 'probability': 0.004264881312847138}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.5173242568969727;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5173242568969727}, {'class': 'n02441942 weasel', 'probability': 0.3727967071533203}, {'class': 'n02443114 polecat', 'probability': 0.04674649238586426}, {'class': 'n01883070 wombat', 'probability': 0.026086816787719725}, {'class': 'n02444819 otter', 'probability': 0.01763808012008667}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.6345296478271485;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.6345296478271485}, {'class': 'n02441942 weasel', 'probability': 0.17248048782348632}, {'class': 'n02443114 polecat', 'probability': 0.15191170692443848}, {'class': 'n02342885 hamster', 'probability': 0.01591275095939636}, {'class': 'n02808304 bath_towel', 'probability': 0.008285239338874817}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.580481185913086;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.580481185913086}, {'class': 'n02443114 polecat', 'probability': 0.3895141220092773}, {'class': 'n02441942 weasel', 'probability': 0.028524529933929444}, {'class': 'n02442845 mink', 'probability': 0.0006080388650298119}, {'class': 'n02509815 lesser_panda', 'probability': 0.0002168828435242176}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.5686060333251953;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5686060333251953}, {'class': 'n02443114 polecat', 'probability': 0.29317745208740237}, {'class': 'n02441942 weasel', 'probability': 0.03756086826324463}, {'class': 'n02442845 mink', 'probability': 0.021118006706237792}, {'class': 'n02445715 skunk', 'probability': 0.014250311851501465}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9996759033203125;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9996759033203125}, {'class': 'n02514041 barracouta', 'probability': 6.962593644857407e-05}, {'class': 'n02536864 coho', 'probability': 6.86390558257699e-05}, {'class': 'n04067472 reel', 'probability': 4.145573824644089e-05}, {'class': 'n02641379 gar', 'probability': 2.6931348256766795e-05}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9398651123046875;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9398651123046875}, {'class': 'n02514041 barracouta', 'probability': 0.034735386371612546}, {'class': 'n02536864 coho', 'probability': 0.011385444402694702}, {'class': 'n02641379 gar', 'probability': 0.00598116934299469}, {'class': 'n02640242 sturgeon', 'probability': 0.003319626748561859}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9990423583984375;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9990423583984375}, {'class': 'n02526121 eel', 'probability': 0.0005735422670841217}, {'class': 'n02514041 barracouta', 'probability': 0.00023093888536095618}, {'class': 'n02640242 sturgeon', 'probability': 2.9420650098472833e-05}, {'class': 'n02536864 coho', 'probability': 2.911143470555544e-05}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9948072052001953;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9948072052001953}, {'class': 'n01440764 tench', 'probability': 0.0036736536026000977}, {'class': 'n02606052 rock_beauty', 'probability': 0.0005691611021757125}, {'class': 'n02607072 anemone_fish', 'probability': 0.00018790647387504578}, {'class': 'n01632777 axolotl', 'probability': 0.00017161305993795394}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.39119808197021483;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.39119808197021483}, {'class': 'n02815834 beaker', 'probability': 0.18783319473266602}, {'class': 'n03733805 measuring_cup', 'probability': 0.09100403785705566}, {'class': 'n04111531 rotisserie', 'probability': 0.04322211265563965}, {'class': 'n04070727 refrigerator', 'probability': 0.026958179473876954}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9995978546142578;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9995978546142578}, {'class': 'n02606052 rock_beauty', 'probability': 0.0001180845033377409}, {'class': 'n02607072 anemone_fish', 'probability': 9.78508684784174e-05}, {'class': 'n01440764 tench', 'probability': 4.705505911260843e-05}, {'class': 'n01632777 axolotl', 'probability': 4.4171730987727645e-05}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.98510009765625;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.98510009765625}, {'class': 'n01491361 tiger_shark', 'probability': 0.009617828726768494}, {'class': 'n02071294 killer_whale', 'probability': 0.0010300584882497786}, {'class': 'n02066245 grey_whale', 'probability': 0.0006823832541704177}, {'class': 'n02640242 sturgeon', 'probability': 0.0003569861501455307}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.8359230041503907;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.8359230041503907}, {'class': 'n01491361 tiger_shark', 'probability': 0.11901802062988281}, {'class': 'n03782006 monitor', 'probability': 0.008074135780334472}, {'class': 'n04152593 screen', 'probability': 0.008040542006492615}, {'class': 'n04404412 television', 'probability': 0.007024497389793396}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.8942678833007812;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.8942678833007812}, {'class': 'n01491361 tiger_shark', 'probability': 0.1033734130859375}, {'class': 'n01496331 electric_ray', 'probability': 0.0007612767815589905}, {'class': 'n01494475 hammerhead', 'probability': 0.0007566307485103607}, {'class': 'n01498041 stingray', 'probability': 0.00010564619675278664}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.9580175018310547;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9580175018310547}, {'class': 'n01491361 tiger_shark', 'probability': 0.0328935432434082}, {'class': 'n02641379 gar', 'probability': 0.004378805458545684}, {'class': 'n02536864 coho', 'probability': 0.0036612743139266967}, {'class': 'n01494475 hammerhead', 'probability': 0.00022709934040904045}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.9286033630371093;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9286033630371093}, {'class': 'n02066245 grey_whale', 'probability': 0.015384681224822998}, {'class': 'n01491361 tiger_shark', 'probability': 0.012159292697906493}, {'class': 'n01665541 leatherback_turtle', 'probability': 0.007106596827507019}, {'class': 'n02077923 sea_lion', 'probability': 0.0046477410197257995}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00007875.JPEG;0.4384444808959961;n01491361 tiger_shark;n01491361;[{'class': 'n01491361 tiger_shark', 'probability': 0.4384444808959961}, {'class': 'n01484850 great_white_shark', 'probability': 0.34107227325439454}, {'class': 'n01494475 hammerhead', 'probability': 0.2119865608215332}, {'class': 'n02640242 sturgeon', 'probability': 0.0023133721947669983}, {'class': 'n01498041 stingray', 'probability': 0.0021059657633304596}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00015631.JPEG;0.3550078201293945;n01494475 hammerhead;n01491361;[{'class': 'n01494475 hammerhead', 'probability': 0.3550078201293945}, {'class': 'n01496331 electric_ray', 'probability': 0.3193016052246094}, {'class': 'n01498041 stingray', 'probability': 0.11314497947692871}, {'class': 'n01491361 tiger_shark', 'probability': 0.05221365928649902}, {'class': 'n10565667 scuba_diver', 'probability': 0.031523189544677734}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00026001.JPEG;0.5592950439453125;n01494475 hammerhead;n01491361;[{'class': 'n01494475 hammerhead', 'probability': 0.5592950439453125}, {'class': 'n01491361 tiger_shark', 'probability': 0.36500556945800783}, {'class': 'n02640242 sturgeon', 'probability': 0.01978598356246948}, {'class': 'n01484850 great_white_shark', 'probability': 0.017217036485671997}, {'class': 'n01496331 electric_ray', 'probability': 0.013887020349502564}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00012546.JPEG;0.8115680694580079;n02536864 coho;n01494475;[{'class': 'n02536864 coho', 'probability': 0.8115680694580079}, {'class': 'n02640242 sturgeon', 'probability': 0.1539262580871582}, {'class': 'n01494475 hammerhead', 'probability': 0.016076635122299194}, {'class': 'n02514041 barracouta', 'probability': 0.010231891870498657}, {'class': 'n01943899 conch', 'probability': 0.0031893619894981383}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00016259.JPEG;0.9800643157958985;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.9800643157958985}, {'class': 'n01484850 great_white_shark', 'probability': 0.010133150815963745}, {'class': 'n01491361 tiger_shark', 'probability': 0.00942363142967224}, {'class': 'n01496331 electric_ray', 'probability': 7.775403559207916e-05}, {'class': 'n02640242 sturgeon', 'probability': 6.357584614306688e-05}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00027160.JPEG;0.9206132507324218;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.9206132507324218}, {'class': 'n01491361 tiger_shark', 'probability': 0.05252176284790039}, {'class': 'n01484850 great_white_shark', 'probability': 0.01123393177986145}, {'class': 'n01496331 electric_ray', 'probability': 0.00859420359134674}, {'class': 'n02640242 sturgeon', 'probability': 0.0018350681662559509}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00034178.JPEG;0.6407403564453125;n04606251 wreck;n01494475;[{'class': 'n04606251 wreck', 'probability': 0.6407403564453125}, {'class': 'n01498041 stingray', 'probability': 0.1126321792602539}, {'class': 'n01494475 hammerhead', 'probability': 0.07486324787139892}, {'class': 'n01496331 electric_ray', 'probability': 0.06681610584259033}, {'class': 'n02640242 sturgeon', 'probability': 0.05199629783630371}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00039588.JPEG;0.7565505218505859;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.7565505218505859}, {'class': 'n01491361 tiger_shark', 'probability': 0.18424617767333984}, {'class': 'n01484850 great_white_shark', 'probability': 0.05778624534606933}, {'class': 'n02640242 sturgeon', 'probability': 0.00034802399575710295}, {'class': 'n01664065 loggerhead', 'probability': 0.00010623078793287277}]
../dataset/imagenet-mini/val/n01496331/ILSVRC2012_val_00007569.JPEG;0.9994426727294922;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.9994426727294922}, {'class': 'n01498041 stingray', 'probability': 0.0005506724864244461}, {'class': 'n02655020 puffer', 'probability': 2.971635549329221e-06}, {'class': 'n01917289 brain_coral', 'probability': 2.3827330733183773e-06}, {'class': 'n01944390 snail', 'probability': 2.2306530809146352e-07}]
../dataset/imagenet-mini/val/n01496331/ILSVRC2012_val_00017196.JPEG;0.5418325805664063;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.5418325805664063}, {'class': 'n01491361 tiger_shark', 'probability': 0.3730988311767578}, {'class': 'n01498041 stingray', 'probability': 0.05752662658691406}, {'class': 'n01494475 hammerhead', 'probability': 0.021301522254943847}, {'class': 'n01484850 great_white_shark', 'probability': 0.0018028034269809722}]
