image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.8219240570068359;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.8219240570068359}, {'class': 'n02441942 weasel', 'probability': 0.08763662338256836}, {'class': 'n02443114 polecat', 'probability': 0.05733007431030274}, {'class': 'n02442845 mink', 'probability': 0.011953479051589966}, {'class': 'n03930630 pickup', 'probability': 0.0002565358206629753}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.6490918731689453;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.6490918731689453}, {'class': 'n02441942 weasel', 'probability': 0.27797809600830076}, {'class': 'n02443114 polecat', 'probability': 0.04438896656036377}, {'class': 'n02442845 mink', 'probability': 0.005330121517181397}, {'class': 'n03930630 pickup', 'probability': 0.00025537531822919843}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.5952948760986329;n02441942 weasel;n02443484;[{'class': 'n02441942 weasel', 'probability': 0.5952948760986329}, {'class': 'n02808304 bath_towel', 'probability': 0.16209169387817382}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.16184022903442383}, {'class': 'n02443114 polecat', 'probability': 0.033415253162384036}, {'class': 'n02442845 mink', 'probability': 0.002373381555080414}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.6857525634765625;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.6857525634765625}, {'class': 'n02441942 weasel', 'probability': 0.1333948040008545}, {'class': 'n02443114 polecat', 'probability': 0.09736131668090821}, {'class': 'n02442845 mink', 'probability': 0.005089595913887024}, {'class': 'n04009552 projector', 'probability': 0.0004932231828570366}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.43894519805908205;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.43894519805908205}, {'class': 'n02443114 polecat', 'probability': 0.29996547698974607}, {'class': 'n02441942 weasel', 'probability': 0.06023680210113525}, {'class': 'n02447366 badger', 'probability': 0.005693095922470093}, {'class': 'n02445715 skunk', 'probability': 0.005472514033317566}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.3065018081665039;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.3065018081665039}, {'class': 'n01440764 tench', 'probability': 0.29932132720947263}, {'class': 'n04067472 reel', 'probability': 0.026029396057128906}, {'class': 'n02514041 barracouta', 'probability': 0.023405196666717528}, {'class': 'n02640242 sturgeon', 'probability': 0.011780136823654174}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.6466940307617187;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.6466940307617187}, {'class': 'n01440764 tench', 'probability': 0.1337591552734375}, {'class': 'n02514041 barracouta', 'probability': 0.01677193284034729}, {'class': 'n02640242 sturgeon', 'probability': 0.007132532596588134}, {'class': 'n01494475 hammerhead', 'probability': 0.004954734742641449}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.7491154479980469;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.7491154479980469}, {'class': 'n02526121 eel', 'probability': 0.01733664274215698}, {'class': 'n02514041 barracouta', 'probability': 0.016044050455093384}, {'class': 'n02074367 dugong', 'probability': 0.0027727290987968447}, {'class': 'n01632777 axolotl', 'probability': 0.002190474420785904}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.36257835388183596;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.36257835388183596}, {'class': 'n02655020 puffer', 'probability': 0.0735332202911377}, {'class': 'n01440764 tench', 'probability': 0.038534271717071536}, {'class': 'n02526121 eel', 'probability': 0.02147513151168823}, {'class': 'n02514041 barracouta', 'probability': 0.016986055374145506}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.09082789421081543;n02815834 beaker;n01443537;[{'class': 'n02815834 beaker', 'probability': 0.09082789421081543}, {'class': 'n04560804 water_jug', 'probability': 0.08534847259521484}, {'class': 'n03633091 ladle', 'probability': 0.08476096153259277}, {'class': 'n03825788 nipple', 'probability': 0.03821594715118408}, {'class': 'n03733805 measuring_cup', 'probability': 0.03620185613632202}]
