image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.6253798675537109;n02342885 hamster;n02443484;[{'class': 'n02342885 hamster', 'probability': 0.6253798675537109}, {'class': 'n02443114 polecat', 'probability': 0.11473402976989747}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.10457606315612793}, {'class': 'n02441942 weasel', 'probability': 0.0342025089263916}, {'class': 'n01883070 wombat', 'probability': 0.02529088258743286}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.23747724533081055;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.23747724533081055}, {'class': 'n02457408 three-toed_sloth', 'probability': 0.18079259872436523}, {'class': 'n02443114 polecat', 'probability': 0.09819684982299805}, {'class': 'n02441942 weasel', 'probability': 0.08447467803955078}, {'class': 'n01742172 boa_constrictor', 'probability': 0.08138903617858886}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.602332534790039;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.602332534790039}, {'class': 'n02441942 weasel', 'probability': 0.20591304779052735}, {'class': 'n02137549 mongoose', 'probability': 0.0923918342590332}, {'class': 'n02443114 polecat', 'probability': 0.04788806915283203}, {'class': 'n02138441 meerkat', 'probability': 0.00732869803905487}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.6966886901855469;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.6966886901855469}, {'class': 'n02443114 polecat', 'probability': 0.19173616409301758}, {'class': 'n02441942 weasel', 'probability': 0.10744760513305664}, {'class': 'n02442845 mink', 'probability': 0.0036989739537239075}, {'class': 'n02444819 otter', 'probability': 0.00017520178109407426}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.5509486389160156;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5509486389160156}, {'class': 'n02364673 guinea_pig', 'probability': 0.1746247673034668}, {'class': 'n02443114 polecat', 'probability': 0.15982834815979005}, {'class': 'n02441942 weasel', 'probability': 0.09168256759643555}, {'class': 'n02442845 mink', 'probability': 0.01680922508239746}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9656438446044922;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9656438446044922}, {'class': 'n02536864 coho', 'probability': 0.01847486734390259}, {'class': 'n04067472 reel', 'probability': 0.009973841905593871}, {'class': 'n02514041 barracouta', 'probability': 0.002134348452091217}, {'class': 'n02641379 gar', 'probability': 0.0007011750340461731}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.4366281890869141;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.4366281890869141}, {'class': 'n02536864 coho', 'probability': 0.2763094520568848}, {'class': 'n02514041 barracouta', 'probability': 0.2008674430847168}, {'class': 'n02641379 gar', 'probability': 0.03053001403808594}, {'class': 'n02640242 sturgeon', 'probability': 0.017185583114624023}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9679621124267578;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9679621124267578}, {'class': 'n02526121 eel', 'probability': 0.03120269298553467}, {'class': 'n01632777 axolotl', 'probability': 0.00016305046156048775}, {'class': 'n07716358 zucchini', 'probability': 9.315860457718372e-05}, {'class': 'n01945685 slug', 'probability': 7.47198797762394e-05}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999930572509765;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999930572509765}, {'class': 'n02007558 flamingo', 'probability': 2.5374305550940334e-06}, {'class': 'n01632777 axolotl', 'probability': 2.2049236577004196e-06}, {'class': 'n02607072 anemone_fish', 'probability': 1.1270220420556144e-06}, {'class': 'n01820546 lorikeet', 'probability': 2.7974692784482613e-07}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.6375343322753906;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.6375343322753906}, {'class': 'n04209239 shower_curtain', 'probability': 0.050240492820739745}, {'class': 'n03788365 mosquito_net', 'probability': 0.03000988721847534}, {'class': 'n03483316 hand_blower', 'probability': 0.024825754165649413}, {'class': 'n04442312 toaster', 'probability': 0.014280308485031128}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9984072875976563;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9984072875976563}, {'class': 'n09256479 coral_reef', 'probability': 0.0009599678963422776}, {'class': 'n02607072 anemone_fish', 'probability': 0.00033600840717554095}, {'class': 'n01914609 sea_anemone', 'probability': 9.312961250543595e-05}, {'class': 'n02606052 rock_beauty', 'probability': 5.314584821462631e-05}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9773573303222656;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9773573303222656}, {'class': 'n01491361 tiger_shark', 'probability': 0.007717477083206177}, {'class': 'n01498041 stingray', 'probability': 0.0047620412707328795}, {'class': 'n02071294 killer_whale', 'probability': 0.0014896644651889801}, {'class': 'n02807133 bathing_cap', 'probability': 0.001182166486978531}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.8894664764404296;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.8894664764404296}, {'class': 'n01491361 tiger_shark', 'probability': 0.024286818504333497}, {'class': 'n02066245 grey_whale', 'probability': 0.02220992565155029}, {'class': 'n01664065 loggerhead', 'probability': 0.013614579439163207}, {'class': 'n02074367 dugong', 'probability': 0.010045781135559081}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.8898248291015625;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.8898248291015625}, {'class': 'n01491361 tiger_shark', 'probability': 0.09115907669067383}, {'class': 'n01496331 electric_ray', 'probability': 0.005478042364120484}, {'class': 'n01498041 stingray', 'probability': 0.005001833438873291}, {'class': 'n01494475 hammerhead', 'probability': 0.003339577317237854}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.9765106964111329;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9765106964111329}, {'class': 'n01491361 tiger_shark', 'probability': 0.01027058482170105}, {'class': 'n04347754 submarine', 'probability': 0.003589635193347931}, {'class': 'n02641379 gar', 'probability': 0.002470906376838684}, {'class': 'n02536864 coho', 'probability': 0.0021681815385818483}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.4898585510253906;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.4898585510253906}, {'class': 'n02066245 grey_whale', 'probability': 0.4565561294555664}, {'class': 'n02071294 killer_whale', 'probability': 0.011665163040161132}, {'class': 'n02444819 otter', 'probability': 0.011325138807296752}, {'class': 'n02077923 sea_lion', 'probability': 0.008254966735839843}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00007875.JPEG;0.5667973327636718;n01484850 great_white_shark;n01491361;[{'class': 'n01484850 great_white_shark', 'probability': 0.5667973327636718}, {'class': 'n01494475 hammerhead', 'probability': 0.2002256202697754}, {'class': 'n01491361 tiger_shark', 'probability': 0.19200132369995118}, {'class': 'n01664065 loggerhead', 'probability': 0.012429499626159668}, {'class': 'n02536864 coho', 'probability': 0.010858689546585082}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00015631.JPEG;0.3805744171142578;n02077923 sea_lion;n01491361;[{'class': 'n02077923 sea_lion', 'probability': 0.3805744171142578}, {'class': 'n01491361 tiger_shark', 'probability': 0.32594627380371094}, {'class': 'n10565667 scuba_diver', 'probability': 0.07570925235748291}, {'class': 'n01494475 hammerhead', 'probability': 0.055401272773742676}, {'class': 'n02074367 dugong', 'probability': 0.03810659885406494}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00026001.JPEG;0.7148271942138672;n01494475 hammerhead;n01491361;[{'class': 'n01494475 hammerhead', 'probability': 0.7148271942138672}, {'class': 'n01491361 tiger_shark', 'probability': 0.2665591812133789}, {'class': 'n01484850 great_white_shark', 'probability': 0.00841054618358612}, {'class': 'n01496331 electric_ray', 'probability': 0.0038023245334625243}, {'class': 'n01498041 stingray', 'probability': 0.003276673853397369}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00012546.JPEG;0.5035167312622071;n02536864 coho;n01494475;[{'class': 'n02536864 coho', 'probability': 0.5035167312622071}, {'class': 'n01494475 hammerhead', 'probability': 0.23044477462768553}, {'class': 'n04208210 shovel', 'probability': 0.023403701782226564}, {'class': 'n03958227 plastic_bag', 'probability': 0.021851398944854737}, {'class': 'n01665541 leatherback_turtle', 'probability': 0.02005298376083374}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00016259.JPEG;0.957837905883789;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.957837905883789}, {'class': 'n01491361 tiger_shark', 'probability': 0.0363538122177124}, {'class': 'n01484850 great_white_shark', 'probability': 0.003901766538619995}, {'class': 'n02640242 sturgeon', 'probability': 0.0007807783037424087}, {'class': 'n02536864 coho', 'probability': 0.000766117125749588}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00027160.JPEG;0.9570156097412109;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.9570156097412109}, {'class': 'n01491361 tiger_shark', 'probability': 0.039624431133270265}, {'class': 'n01484850 great_white_shark', 'probability': 0.0015184134244918823}, {'class': 'n02640242 sturgeon', 'probability': 0.0006214120611548424}, {'class': 'n01496331 electric_ray', 'probability': 0.000504731498658657}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00034178.JPEG;0.3144639778137207;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.3144639778137207}, {'class': 'n01498041 stingray', 'probability': 0.2917327880859375}, {'class': 'n01496331 electric_ray', 'probability': 0.12555445671081544}, {'class': 'n01491361 tiger_shark', 'probability': 0.05728644371032715}, {'class': 'n02640242 sturgeon', 'probability': 0.043795294761657715}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00039588.JPEG;0.477149658203125;n01491361 tiger_shark;n01494475;[{'class': 'n01491361 tiger_shark', 'probability': 0.477149658203125}, {'class': 'n01494475 hammerhead', 'probability': 0.4366761779785156}, {'class': 'n01484850 great_white_shark', 'probability': 0.08082443237304687}, {'class': 'n02692877 airship', 'probability': 0.0013096268475055696}, {'class': 'n04592741 wing', 'probability': 0.00029513528570532797}]
../dataset/imagenet-mini/val/n01496331/ILSVRC2012_val_00007569.JPEG;0.9922598266601562;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.9922598266601562}, {'class': 'n01498041 stingray', 'probability': 0.0006340739876031876}, {'class': 'n01917289 brain_coral', 'probability': 0.0005678779631853103}, {'class': 'n04332243 strainer', 'probability': 0.0004572807997465134}, {'class': 'n07734744 mushroom', 'probability': 0.00042726851999759676}]
