image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.19575504302978516;n02492035 capuchin;n02443484;[{'class': 'n02492035 capuchin', 'probability': 0.19575504302978516}, {'class': 'n03207941 dishwasher', 'probability': 0.1395387363433838}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.10448655128479004}, {'class': 'n02443114 polecat', 'probability': 0.09957120895385742}, {'class': 'n02481823 chimpanzee', 'probability': 0.07088182926177979}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.08752676010131837;n04597913 wooden_spoon;n02443484;[{'class': 'n04597913 wooden_spoon', 'probability': 0.08752676010131837}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.08634762763977051}, {'class': 'n01883070 wombat', 'probability': 0.06281004905700684}, {'class': 'n02085620 Chihuahua', 'probability': 0.060270676612854006}, {'class': 'n04154565 screwdriver', 'probability': 0.03952116250991821}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.3657804870605469;n02441942 weasel;n02443484;[{'class': 'n02441942 weasel', 'probability': 0.3657804870605469}, {'class': 'n02443114 polecat', 'probability': 0.3016507911682129}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.21766183853149415}, {'class': 'n02444819 otter', 'probability': 0.053891377449035646}, {'class': 'n02442845 mink', 'probability': 0.015802040100097656}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.7557965087890625;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.7557965087890625}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.2132236862182617}, {'class': 'n02441942 weasel', 'probability': 0.030248007774353027}, {'class': 'n02509815 lesser_panda', 'probability': 0.00048267494887113574}, {'class': 'n02442845 mink', 'probability': 0.00016498195007443427}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.506451072692871;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.506451072692871}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.28632148742675784}, {'class': 'n02441942 weasel', 'probability': 0.09172389984130859}, {'class': 'n02510455 giant_panda', 'probability': 0.08526059150695801}, {'class': 'n02442845 mink', 'probability': 0.020838844776153564}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.3420893096923828;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.3420893096923828}, {'class': 'n02229544 cricket', 'probability': 0.07804017543792724}, {'class': 'n02174001 rhinoceros_beetle', 'probability': 0.06944008827209473}, {'class': 'n04067472 reel', 'probability': 0.050277848243713376}, {'class': 'n03000684 chain_saw', 'probability': 0.022679524421691896}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.4952149200439453;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.4952149200439453}, {'class': 'n02514041 barracouta', 'probability': 0.2444175338745117}, {'class': 'n02641379 gar', 'probability': 0.12905080795288085}, {'class': 'n02640242 sturgeon', 'probability': 0.11503570556640624}, {'class': 'n02536864 coho', 'probability': 0.013837255239486694}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9998946380615235;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9998946380615235}, {'class': 'n02514041 barracouta', 'probability': 4.9251345917582515e-05}, {'class': 'n02526121 eel', 'probability': 2.2288565523922444e-05}, {'class': 'n04067472 reel', 'probability': 2.1051515359431507e-05}, {'class': 'n02536864 coho', 'probability': 3.32974101183936e-06}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999040222167969;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999040222167969}, {'class': 'n02007558 flamingo', 'probability': 6.446427199989557e-05}, {'class': 'n02607072 anemone_fish', 'probability': 2.3738252930343152e-05}, {'class': 'n01631663 eft', 'probability': 3.399197885300964e-06}, {'class': 'n02606052 rock_beauty', 'probability': 1.7210155783686786e-06}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.35380409240722654;n01914609 sea_anemone;n01443537;[{'class': 'n01914609 sea_anemone', 'probability': 0.35380409240722654}, {'class': 'n01443537 goldfish', 'probability': 0.08592004776000976}, {'class': 'n04209239 shower_curtain', 'probability': 0.0733005428314209}, {'class': 'n02342885 hamster', 'probability': 0.02940626621246338}, {'class': 'n01978287 Dungeness_crab', 'probability': 0.01773576259613037}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.999886245727539;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.999886245727539}, {'class': 'n01910747 jellyfish', 'probability': 1.8123142654076217e-05}, {'class': 'n01990800 isopod', 'probability': 1.740506966598332e-05}, {'class': 'n09256479 coral_reef', 'probability': 1.4804068487137556e-05}, {'class': 'n02606052 rock_beauty', 'probability': 1.000019139610231e-05}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9788713836669922;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9788713836669922}, {'class': 'n01491361 tiger_shark', 'probability': 0.01408632755279541}, {'class': 'n02807133 bathing_cap', 'probability': 0.0025400829315185545}, {'class': 'n01498041 stingray', 'probability': 0.0009603644907474518}, {'class': 'n02134084 ice_bear', 'probability': 0.0008620185405015945}]
