image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.6866730499267578;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.6866730499267578}, {'class': 'n02441942 weasel', 'probability': 0.1808517074584961}, {'class': 'n02443114 polecat', 'probability': 0.12058424949645996}, {'class': 'n02442845 mink', 'probability': 0.007037847638130188}, {'class': 'n02342885 hamster', 'probability': 0.001751287430524826}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.46809757232666016;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.46809757232666016}, {'class': 'n02441942 weasel', 'probability': 0.46080257415771486}, {'class': 'n02443114 polecat', 'probability': 0.07018641471862792}, {'class': 'n02442845 mink', 'probability': 0.0008345118165016174}, {'class': 'n02342885 hamster', 'probability': 5.0115566700696945e-05}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.6165674209594727;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.6165674209594727}, {'class': 'n02441942 weasel', 'probability': 0.25164396286010743}, {'class': 'n02443114 polecat', 'probability': 0.1285814666748047}, {'class': 'n02442845 mink', 'probability': 0.0007424774020910263}, {'class': 'n02808304 bath_towel', 'probability': 0.0004816087707877159}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.5469625473022461;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5469625473022461}, {'class': 'n02443114 polecat', 'probability': 0.40683727264404296}, {'class': 'n02441942 weasel', 'probability': 0.04404641628265381}, {'class': 'n02442845 mink', 'probability': 0.0012273165583610536}, {'class': 'n02447366 badger', 'probability': 0.00032124463468790053}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.49581790924072267;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.49581790924072267}, {'class': 'n02443114 polecat', 'probability': 0.3768657302856445}, {'class': 'n02442845 mink', 'probability': 0.04442921161651611}, {'class': 'n02441942 weasel', 'probability': 0.038697593212127686}, {'class': 'n02445715 skunk', 'probability': 0.015937706232070924}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.99758544921875;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.99758544921875}, {'class': 'n02536864 coho', 'probability': 0.0003831677511334419}, {'class': 'n04067472 reel', 'probability': 0.0003575675189495087}, {'class': 'n02641379 gar', 'probability': 0.0003150754794478416}, {'class': 'n02514041 barracouta', 'probability': 0.00023863846436142922}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9939163208007813;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9939163208007813}, {'class': 'n02514041 barracouta', 'probability': 0.003638825714588165}, {'class': 'n02536864 coho', 'probability': 0.0006536476314067841}, {'class': 'n02641379 gar', 'probability': 0.0004914954304695129}, {'class': 'n02640242 sturgeon', 'probability': 0.0004221457615494728}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9995297241210938;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9995297241210938}, {'class': 'n02514041 barracouta', 'probability': 0.0003410870209336281}, {'class': 'n02526121 eel', 'probability': 2.8167224954813718e-05}, {'class': 'n02641379 gar', 'probability': 1.6340494621545076e-05}, {'class': 'n02640242 sturgeon', 'probability': 1.579158357344568e-05}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9977414703369141;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9977414703369141}, {'class': 'n01440764 tench', 'probability': 0.0015916523337364196}, {'class': 'n02606052 rock_beauty', 'probability': 0.00047555018216371536}, {'class': 'n02607072 anemone_fish', 'probability': 4.039124120026827e-05}, {'class': 'n01632777 axolotl', 'probability': 2.1378861274570225e-05}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.2777780342102051;n02815834 beaker;n01443537;[{'class': 'n02815834 beaker', 'probability': 0.2777780342102051}, {'class': 'n03207941 dishwasher', 'probability': 0.25363258361816404}, {'class': 'n04070727 refrigerator', 'probability': 0.1050355339050293}, {'class': 'n03733805 measuring_cup', 'probability': 0.10420619964599609}, {'class': 'n04560804 water_jug', 'probability': 0.03257388353347778}]
