image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.7778441619873047;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.7778441619873047}, {'class': 'n02443114 polecat', 'probability': 0.09096126556396485}, {'class': 'n02441942 weasel', 'probability': 0.07198634624481201}, {'class': 'n02442845 mink', 'probability': 0.013927820920944214}, {'class': 'n03930630 pickup', 'probability': 0.000514683723449707}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.5541799545288086;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5541799545288086}, {'class': 'n02441942 weasel', 'probability': 0.2952364158630371}, {'class': 'n02443114 polecat', 'probability': 0.12234577178955078}, {'class': 'n02442845 mink', 'probability': 0.0018178582191467284}, {'class': 'n02137549 mongoose', 'probability': 0.0002759692817926407}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.7277809143066406;n02441942 weasel;n02443484;[{'class': 'n02441942 weasel', 'probability': 0.7277809143066406}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.22072494506835938}, {'class': 'n02443114 polecat', 'probability': 0.021579532623291015}, {'class': 'n02808304 bath_towel', 'probability': 0.002870562970638275}, {'class': 'n02442845 mink', 'probability': 0.0010808061063289642}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.5533364486694335;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5533364486694335}, {'class': 'n02443114 polecat', 'probability': 0.2185676383972168}, {'class': 'n02441942 weasel', 'probability': 0.10694128036499023}, {'class': 'n02442845 mink', 'probability': 0.007359094619750976}, {'class': 'n04009552 projector', 'probability': 0.0009047797322273254}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.5574052429199219;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.5574052429199219}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.3299617385864258}, {'class': 'n02441942 weasel', 'probability': 0.013756011724472045}, {'class': 'n02442845 mink', 'probability': 0.0023855990171432495}, {'class': 'n02509815 lesser_panda', 'probability': 0.0013979294896125794}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9209795379638672;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9209795379638672}, {'class': 'n02536864 coho', 'probability': 0.0015707814693450928}, {'class': 'n02514041 barracouta', 'probability': 0.0014141348004341125}, {'class': 'n04067472 reel', 'probability': 0.001203036904335022}, {'class': 'n04090263 rifle', 'probability': 0.000754251554608345}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9498746490478516;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9498746490478516}, {'class': 'n02536864 coho', 'probability': 0.0032413339614868163}, {'class': 'n02514041 barracouta', 'probability': 0.0021684128046035767}, {'class': 'n02606052 rock_beauty', 'probability': 0.0004866495728492737}, {'class': 'n04209133 shower_cap', 'probability': 0.00046402718871831896}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9904949951171875;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9904949951171875}, {'class': 'n02514041 barracouta', 'probability': 0.001000022366642952}, {'class': 'n02526121 eel', 'probability': 0.00016618892550468445}, {'class': 'n02606052 rock_beauty', 'probability': 0.0001494685746729374}, {'class': 'n01443537 goldfish', 'probability': 8.792486973106861e-05}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.8427278137207032;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.8427278137207032}, {'class': 'n02607072 anemone_fish', 'probability': 0.016001064777374268}, {'class': 'n02606052 rock_beauty', 'probability': 0.009251715540885925}, {'class': 'n02007558 flamingo', 'probability': 0.002798166275024414}, {'class': 'n02701002 ambulance', 'probability': 0.0025459402799606324}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.8796510314941406;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.8796510314941406}, {'class': 'n04111531 rotisserie', 'probability': 0.01692142128944397}, {'class': 'n02927161 butcher_shop', 'probability': 0.002641448080539703}, {'class': 'n03733805 measuring_cup', 'probability': 0.002306571006774902}, {'class': 'n01985128 crayfish', 'probability': 0.0014267438650131226}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9873120880126953;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9873120880126953}, {'class': 'n02701002 ambulance', 'probability': 0.0015715929865837098}, {'class': 'n02422106 hartebeest', 'probability': 0.00021029837429523468}, {'class': 'n02927161 butcher_shop', 'probability': 0.00013821988366544247}, {'class': 'n02977058 cash_machine', 'probability': 0.00013505485840141772}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.7845470428466796;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.7845470428466796}, {'class': 'n01491361 tiger_shark', 'probability': 0.04270026206970215}, {'class': 'n02058221 albatross', 'probability': 0.0019831761717796327}, {'class': 'n02071294 killer_whale', 'probability': 0.001002766340970993}, {'class': 'n03710193 mailbox', 'probability': 0.0008471240848302842}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.6991779327392578;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.6991779327392578}, {'class': 'n01491361 tiger_shark', 'probability': 0.06852603912353515}, {'class': 'n02066245 grey_whale', 'probability': 0.00886967897415161}, {'class': 'n02074367 dugong', 'probability': 0.006728324890136719}, {'class': 'n02071294 killer_whale', 'probability': 0.006539598703384399}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.9449895477294922;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9449895477294922}, {'class': 'n01491361 tiger_shark', 'probability': 0.02137706756591797}, {'class': 'n02096294 Australian_terrier', 'probability': 0.0003592651709914207}, {'class': 'n02085936 Maltese_dog', 'probability': 0.00030066119506955147}, {'class': 'n04557648 water_bottle', 'probability': 0.0002690622955560684}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.8085033416748046;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.8085033416748046}, {'class': 'n01491361 tiger_shark', 'probability': 0.0995573902130127}, {'class': 'n02640242 sturgeon', 'probability': 0.009627547264099121}, {'class': 'n01494475 hammerhead', 'probability': 0.000915171355009079}, {'class': 'n02074367 dugong', 'probability': 0.0008081629127264022}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.7180963134765626;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.7180963134765626}, {'class': 'n02066245 grey_whale', 'probability': 0.11409982681274414}, {'class': 'n01873310 platypus', 'probability': 0.006798504590988159}, {'class': 'n02640242 sturgeon', 'probability': 0.0051772773265838625}, {'class': 'n02077923 sea_lion', 'probability': 0.004989603161811828}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00007875.JPEG;0.6223248672485352;n01484850 great_white_shark;n01491361;[{'class': 'n01484850 great_white_shark', 'probability': 0.6223248672485352}, {'class': 'n01491361 tiger_shark', 'probability': 0.2472561264038086}, {'class': 'n01494475 hammerhead', 'probability': 0.011236974000930787}, {'class': 'n04008634 projectile', 'probability': 0.0013322918117046356}, {'class': 'n02071294 killer_whale', 'probability': 0.0011300309747457504}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00015631.JPEG;0.7634500885009765;n01494475 hammerhead;n01491361;[{'class': 'n01494475 hammerhead', 'probability': 0.7634500885009765}, {'class': 'n01491361 tiger_shark', 'probability': 0.08993246078491211}, {'class': 'n01484850 great_white_shark', 'probability': 0.017711390256881714}, {'class': 'n01496331 electric_ray', 'probability': 0.010077093839645385}, {'class': 'n01498041 stingray', 'probability': 0.00828349769115448}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00026001.JPEG;0.8548777770996093;n01491361 tiger_shark;n01491361;[{'class': 'n01491361 tiger_shark', 'probability': 0.8548777770996093}, {'class': 'n01484850 great_white_shark', 'probability': 0.03308202743530273}, {'class': 'n01494475 hammerhead', 'probability': 0.020681779384613037}, {'class': 'n04141975 scale', 'probability': 0.0011012785881757735}, {'class': 'n10565667 scuba_diver', 'probability': 0.0009996218979358674}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00012546.JPEG;0.5544855117797851;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.5544855117797851}, {'class': 'n02536864 coho', 'probability': 0.26496210098266604}, {'class': 'n02514041 barracouta', 'probability': 0.03550064086914063}, {'class': 'n02640242 sturgeon', 'probability': 0.029465749263763427}, {'class': 'n03498962 hatchet', 'probability': 0.009406132698059082}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00016259.JPEG;0.8845203399658204;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.8845203399658204}, {'class': 'n01491361 tiger_shark', 'probability': 0.0037436020374298096}, {'class': 'n01484850 great_white_shark', 'probability': 0.0018695753812789917}, {'class': 'n02085936 Maltese_dog', 'probability': 0.0006955167651176452}, {'class': 'n03825788 nipple', 'probability': 0.0006794693320989609}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00027160.JPEG;0.8925845336914062;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.8925845336914062}, {'class': 'n01491361 tiger_shark', 'probability': 0.0038399794697761536}, {'class': 'n01484850 great_white_shark', 'probability': 0.002225474268198013}, {'class': 'n02085936 Maltese_dog', 'probability': 0.0010294115543365478}, {'class': 'n01682714 American_chameleon', 'probability': 0.0004588275030255318}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00034178.JPEG;0.6767409515380859;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.6767409515380859}, {'class': 'n01491361 tiger_shark', 'probability': 0.045086212158203125}, {'class': 'n02640242 sturgeon', 'probability': 0.0363016939163208}, {'class': 'n04606251 wreck', 'probability': 0.030319619178771972}, {'class': 'n04162706 seat_belt', 'probability': 0.008458930850028992}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00039588.JPEG;0.8693103790283203;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.8693103790283203}, {'class': 'n01491361 tiger_shark', 'probability': 0.057709693908691406}, {'class': 'n01484850 great_white_shark', 'probability': 0.008951159119606018}, {'class': 'n02085936 Maltese_dog', 'probability': 0.0013094940781593323}, {'class': 'n02094114 Norfolk_terrier', 'probability': 0.00032095801085233686}]
../dataset/imagenet-mini/val/n01496331/ILSVRC2012_val_00007569.JPEG;0.9625360107421875;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.9625360107421875}, {'class': 'n01498041 stingray', 'probability': 0.0033090141415596007}, {'class': 'n04542943 waffle_iron', 'probability': 0.0005668708309531212}, {'class': 'n03476684 hair_slide', 'probability': 0.0002990912273526192}, {'class': 'n03014705 chest', 'probability': 0.0002760038524866104}]
../dataset/imagenet-mini/val/n01496331/ILSVRC2012_val_00017196.JPEG;0.3212499237060547;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.3212499237060547}, {'class': 'n01498041 stingray', 'probability': 0.28156503677368167}, {'class': 'n01491361 tiger_shark', 'probability': 0.22923648834228516}, {'class': 'n04141975 scale', 'probability': 0.006183287501335144}, {'class': 'n01685808 whiptail', 'probability': 0.006019471287727356}]
../dataset/imagenet-mini/val/n01496331/ILSVRC2012_val_00037260.JPEG;0.28920999526977537;n01498041 stingray;n01496331;[{'class': 'n01498041 stingray', 'probability': 0.28920999526977537}, {'class': 'n01917289 brain_coral', 'probability': 0.14347508430480957}, {'class': 'n01496331 electric_ray', 'probability': 0.130201358795166}, {'class': 'n02321529 sea_cucumber', 'probability': 0.07321854114532471}, {'class': 'n02526121 eel', 'probability': 0.04517294883728027}]
../dataset/imagenet-mini/val/n01498041/ILSVRC2012_val_00013655.JPEG;0.9890887451171875;n01498041 stingray;n01498041;[{'class': 'n01498041 stingray', 'probability': 0.9890887451171875}, {'class': 'n01496331 electric_ray', 'probability': 0.003829977810382843}, {'class': 'n04208210 shovel', 'probability': 0.0011158128082752227}, {'class': 'n03967562 plow', 'probability': 0.0003459903597831726}, {'class': 'n03041632 cleaver', 'probability': 7.791749667376279e-05}]
../dataset/imagenet-mini/val/n01498041/ILSVRC2012_val_00032394.JPEG;0.8689323425292969;n01498041 stingray;n01498041;[{'class': 'n01498041 stingray', 'probability': 0.8689323425292969}, {'class': 'n01496331 electric_ray', 'probability': 0.08783947944641113}, {'class': 'n04208210 shovel', 'probability': 0.006159898638725281}, {'class': 'n03967562 plow', 'probability': 0.002093529850244522}, {'class': 'n03498962 hatchet', 'probability': 0.00023803146556019783}]
