image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.8098356628417969;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.8098356628417969}, {'class': 'n02443114 polecat', 'probability': 0.10185041427612304}, {'class': 'n02441942 weasel', 'probability': 0.07714027881622315}, {'class': 'n02342885 hamster', 'probability': 0.005892915725708008}, {'class': 'n02442845 mink', 'probability': 0.004722306132316589}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.43670551300048827;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.43670551300048827}, {'class': 'n02441942 weasel', 'probability': 0.39909130096435547}, {'class': 'n02443114 polecat', 'probability': 0.1636028480529785}, {'class': 'n02442845 mink', 'probability': 0.0005215280503034592}, {'class': 'n02342885 hamster', 'probability': 4.0578562766313554e-05}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.6661251831054688;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.6661251831054688}, {'class': 'n02441942 weasel', 'probability': 0.3147422981262207}, {'class': 'n02443114 polecat', 'probability': 0.017993649244308473}, {'class': 'n02808304 bath_towel', 'probability': 0.0003137247264385223}, {'class': 'n02444819 otter', 'probability': 0.0002391514927148819}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.5800584411621094;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5800584411621094}, {'class': 'n02443114 polecat', 'probability': 0.30997434616088865}, {'class': 'n02441942 weasel', 'probability': 0.10769718170166015}, {'class': 'n02442845 mink', 'probability': 0.0015571866929531097}, {'class': 'n02509815 lesser_panda', 'probability': 0.0003540556505322456}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.7456686401367187;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.7456686401367187}, {'class': 'n02443114 polecat', 'probability': 0.1907871437072754}, {'class': 'n02441942 weasel', 'probability': 0.03694544792175293}, {'class': 'n02442845 mink', 'probability': 0.025404319763183594}, {'class': 'n02447366 badger', 'probability': 0.00025939982384443283}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9992532348632812;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9992532348632812}, {'class': 'n02536864 coho', 'probability': 0.0004838775098323822}, {'class': 'n04067472 reel', 'probability': 0.00010590098798274995}, {'class': 'n02514041 barracouta', 'probability': 6.951756775379181e-05}, {'class': 'n02641379 gar', 'probability': 2.2432487457990647e-05}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9975608825683594;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9975608825683594}, {'class': 'n02514041 barracouta', 'probability': 0.0015858753025531768}, {'class': 'n02536864 coho', 'probability': 0.00027251971885561944}, {'class': 'n02640242 sturgeon', 'probability': 9.640221484005451e-05}, {'class': 'n02641379 gar', 'probability': 4.7588846646249296e-05}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9996365356445313;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9996365356445313}, {'class': 'n02514041 barracouta', 'probability': 0.00020186124369502066}, {'class': 'n02526121 eel', 'probability': 4.499968606978655e-05}, {'class': 'n02536864 coho', 'probability': 2.5576234329491853e-05}, {'class': 'n01945685 slug', 'probability': 1.0241226991638541e-05}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999254608154297;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999254608154297}, {'class': 'n02606052 rock_beauty', 'probability': 4.2751901783049104e-05}, {'class': 'n01440764 tench', 'probability': 1.4325762167572975e-05}, {'class': 'n02607072 anemone_fish', 'probability': 1.2339383829385042e-05}, {'class': 'n01632777 axolotl', 'probability': 1.4218976139090955e-06}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.35040897369384766;n02927161 butcher_shop;n01443537;[{'class': 'n02927161 butcher_shop', 'probability': 0.35040897369384766}, {'class': 'n03733805 measuring_cup', 'probability': 0.1562155532836914}, {'class': 'n03207941 dishwasher', 'probability': 0.10826009750366211}, {'class': 'n04070727 refrigerator', 'probability': 0.08150979042053223}, {'class': 'n01443537 goldfish', 'probability': 0.07487016677856445}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9989430236816407;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9989430236816407}, {'class': 'n02606052 rock_beauty', 'probability': 0.0008020346611738205}, {'class': 'n09256479 coral_reef', 'probability': 8.258458226919175e-05}, {'class': 'n02607072 anemone_fish', 'probability': 5.80773688852787e-05}, {'class': 'n01440764 tench', 'probability': 4.52232826501131e-05}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9573643493652344;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9573643493652344}, {'class': 'n01491361 tiger_shark', 'probability': 0.042554373741149905}, {'class': 'n02134084 ice_bear', 'probability': 1.2576738372445107e-05}, {'class': 'n02074367 dugong', 'probability': 1.2182726059108973e-05}, {'class': 'n01664065 loggerhead', 'probability': 1.0666514281183482e-05}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.9731100463867187;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9731100463867187}, {'class': 'n01491361 tiger_shark', 'probability': 0.020819497108459473}, {'class': 'n02071294 killer_whale', 'probability': 0.004228631854057312}, {'class': 'n01494475 hammerhead', 'probability': 0.0006268389523029327}, {'class': 'n02074367 dugong', 'probability': 0.00041751660406589506}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.9329946899414062;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9329946899414062}, {'class': 'n01491361 tiger_shark', 'probability': 0.06690000057220459}, {'class': 'n01496331 electric_ray', 'probability': 4.2666341178119184e-05}, {'class': 'n01494475 hammerhead', 'probability': 3.818241413682699e-05}, {'class': 'n01498041 stingray', 'probability': 9.911071974784137e-06}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.9993313598632813;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9993313598632813}, {'class': 'n01491361 tiger_shark', 'probability': 0.0004860271140933037}, {'class': 'n04347754 submarine', 'probability': 3.4144057426601645e-05}, {'class': 'n02071294 killer_whale', 'probability': 3.390459110960364e-05}, {'class': 'n01494475 hammerhead', 'probability': 2.2512276191264392e-05}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.9608290100097656;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9608290100097656}, {'class': 'n02066245 grey_whale', 'probability': 0.024521124362945557}, {'class': 'n01491361 tiger_shark', 'probability': 0.007306604385375976}, {'class': 'n02077923 sea_lion', 'probability': 0.0022305913269519808}, {'class': 'n02071294 killer_whale', 'probability': 0.0014756937325000764}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00007875.JPEG;0.7732437896728516;n01491361 tiger_shark;n01491361;[{'class': 'n01491361 tiger_shark', 'probability': 0.7732437896728516}, {'class': 'n01484850 great_white_shark', 'probability': 0.18410552978515626}, {'class': 'n01494475 hammerhead', 'probability': 0.035308942794799805}, {'class': 'n01498041 stingray', 'probability': 0.001941709965467453}, {'class': 'n04592741 wing', 'probability': 0.0014109668135643006}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00015631.JPEG;0.7715425109863281;n01494475 hammerhead;n01491361;[{'class': 'n01494475 hammerhead', 'probability': 0.7715425109863281}, {'class': 'n01491361 tiger_shark', 'probability': 0.10037014961242675}, {'class': 'n01496331 electric_ray', 'probability': 0.05732624053955078}, {'class': 'n01498041 stingray', 'probability': 0.026804442405700683}, {'class': 'n02077923 sea_lion', 'probability': 0.012980051040649414}]
