image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.3273413848876953;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.3273413848876953}, {'class': 'n02442845 mink', 'probability': 0.17396842956542968}, {'class': 'n02441942 weasel', 'probability': 0.14295207977294921}, {'class': 'n02445715 skunk', 'probability': 0.13981157302856445}, {'class': 'n02443114 polecat', 'probability': 0.10608586311340332}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.8442224884033203;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.8442224884033203}, {'class': 'n02441942 weasel', 'probability': 0.12324780464172364}, {'class': 'n02443114 polecat', 'probability': 0.03160173892974853}, {'class': 'n02442845 mink', 'probability': 0.0005590785294771194}, {'class': 'n01883070 wombat', 'probability': 0.00013935263268649578}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.3858880615234375;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.3858880615234375}, {'class': 'n02441942 weasel', 'probability': 0.26337274551391604}, {'class': 'n02443114 polecat', 'probability': 0.16044197082519532}, {'class': 'n02444819 otter', 'probability': 0.052676124572753905}, {'class': 'n02442845 mink', 'probability': 0.0322801947593689}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.6661472320556641;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.6661472320556641}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.25986188888549805}, {'class': 'n02441942 weasel', 'probability': 0.06427556037902832}, {'class': 'n02442845 mink', 'probability': 0.009645256400108337}, {'class': 'n02444819 otter', 'probability': 4.436159506440163e-05}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.5729483413696289;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5729483413696289}, {'class': 'n02443114 polecat', 'probability': 0.3071343231201172}, {'class': 'n02441942 weasel', 'probability': 0.08428741455078125}, {'class': 'n02442845 mink', 'probability': 0.03342862367630005}, {'class': 'n02445715 skunk', 'probability': 0.0010527900606393814}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9992254638671875;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9992254638671875}, {'class': 'n02536864 coho', 'probability': 0.0005155153200030327}, {'class': 'n04067472 reel', 'probability': 0.00013045423664152623}, {'class': 'n02514041 barracouta', 'probability': 8.240124210715294e-05}, {'class': 'n02526121 eel', 'probability': 2.9455132316797972e-05}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9988077545166015;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9988077545166015}, {'class': 'n02514041 barracouta', 'probability': 0.001125335916876793}, {'class': 'n02526121 eel', 'probability': 3.4147885162383315e-05}, {'class': 'n02641379 gar', 'probability': 2.4210503324866296e-05}, {'class': 'n04067472 reel', 'probability': 2.5993914459832014e-06}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9993157196044922;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9993157196044922}, {'class': 'n02514041 barracouta', 'probability': 0.0003155229613184929}, {'class': 'n02526121 eel', 'probability': 0.00030378930270671847}, {'class': 'n04067472 reel', 'probability': 3.451178316026926e-05}, {'class': 'n02536864 coho', 'probability': 2.674550749361515e-05}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9998908233642578;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9998908233642578}, {'class': 'n02607072 anemone_fish', 'probability': 0.0001031571626663208}, {'class': 'n02606052 rock_beauty', 'probability': 2.938424295280129e-06}, {'class': 'n01914609 sea_anemone', 'probability': 2.6628960040397943e-06}, {'class': 'n09256479 coral_reef', 'probability': 4.350625022198074e-07}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.20174829483032228;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.20174829483032228}, {'class': 'n02927161 butcher_shop', 'probability': 0.16933717727661132}, {'class': 'n04111531 rotisserie', 'probability': 0.13537250518798827}, {'class': 'n02815834 beaker', 'probability': 0.029761350154876708}, {'class': 'n03483316 hand_blower', 'probability': 0.025567018985748292}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;1.0;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 1.0}, {'class': 'n02606052 rock_beauty', 'probability': 2.2994104256213177e-08}, {'class': 'n02607072 anemone_fish', 'probability': 1.0081715799969971e-08}, {'class': 'n09256479 coral_reef', 'probability': 5.086868668513489e-09}, {'class': 'n01914609 sea_anemone', 'probability': 3.8709320193675013e-10}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9911260986328125;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9911260986328125}, {'class': 'n01491361 tiger_shark', 'probability': 0.008360720872879028}, {'class': 'n02066245 grey_whale', 'probability': 0.00014039330184459687}, {'class': 'n01498041 stingray', 'probability': 0.00011049135588109493}, {'class': 'n02071294 killer_whale', 'probability': 8.524213917553425e-05}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.9117484283447266;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9117484283447266}, {'class': 'n01491361 tiger_shark', 'probability': 0.06544379234313964}, {'class': 'n01494475 hammerhead', 'probability': 0.010849822759628296}, {'class': 'n02071294 killer_whale', 'probability': 0.0038335973024368284}, {'class': 'n01496331 electric_ray', 'probability': 0.0018954530358314514}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.9730027008056641;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9730027008056641}, {'class': 'n01491361 tiger_shark', 'probability': 0.025965871810913085}, {'class': 'n01910747 jellyfish', 'probability': 0.0003728616237640381}, {'class': 'n01496331 electric_ray', 'probability': 0.00013932888396084309}, {'class': 'n01494475 hammerhead', 'probability': 0.00010067421942949295}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.9983081817626953;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9983081817626953}, {'class': 'n01491361 tiger_shark', 'probability': 0.0013804474472999572}, {'class': 'n02536864 coho', 'probability': 9.584149345755577e-05}, {'class': 'n02640242 sturgeon', 'probability': 7.478665094822645e-05}, {'class': 'n02066245 grey_whale', 'probability': 5.470266565680504e-05}]
