image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.6005337905883789;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.6005337905883789}, {'class': 'n02443114 polecat', 'probability': 0.24743072509765626}, {'class': 'n02441942 weasel', 'probability': 0.13220943450927736}, {'class': 'n02342885 hamster', 'probability': 0.01520951509475708}, {'class': 'n02442845 mink', 'probability': 0.003835602104663849}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.823580551147461;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.823580551147461}, {'class': 'n02441942 weasel', 'probability': 0.1389770984649658}, {'class': 'n02443114 polecat', 'probability': 0.03717537641525268}, {'class': 'n02442845 mink', 'probability': 0.0002375544048845768}, {'class': 'n02137549 mongoose', 'probability': 6.950667011551559e-06}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.7273806762695313;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.7273806762695313}, {'class': 'n02441942 weasel', 'probability': 0.1588335609436035}, {'class': 'n02443114 polecat', 'probability': 0.08357522010803223}, {'class': 'n02808304 bath_towel', 'probability': 0.01590147614479065}, {'class': 'n02444819 otter', 'probability': 0.008371900916099548}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.5717401504516602;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.5717401504516602}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.38227291107177735}, {'class': 'n02441942 weasel', 'probability': 0.0435024356842041}, {'class': 'n02447366 badger', 'probability': 0.0013361474871635436}, {'class': 'n02442845 mink', 'probability': 0.0008220233768224716}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.46774772644042967;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.46774772644042967}, {'class': 'n02443114 polecat', 'probability': 0.33811336517333984}, {'class': 'n02442845 mink', 'probability': 0.07064958572387696}, {'class': 'n02441942 weasel', 'probability': 0.0699685525894165}, {'class': 'n02445715 skunk', 'probability': 0.0189324414730072}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.99487548828125;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.99487548828125}, {'class': 'n04067472 reel', 'probability': 0.0038420075178146364}, {'class': 'n02536864 coho', 'probability': 0.000320378802716732}, {'class': 'n02514041 barracouta', 'probability': 0.0002876945026218891}, {'class': 'n02641379 gar', 'probability': 5.817763041704893e-05}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9993740081787109;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9993740081787109}, {'class': 'n02514041 barracouta', 'probability': 0.0004091145843267441}, {'class': 'n02536864 coho', 'probability': 0.00014162723906338215}, {'class': 'n02641379 gar', 'probability': 2.7067847549915315e-05}, {'class': 'n02640242 sturgeon', 'probability': 2.1934621036052703e-05}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9997069549560547;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9997069549560547}, {'class': 'n02514041 barracouta', 'probability': 0.000159576665610075}, {'class': 'n02526121 eel', 'probability': 8.748383261263371e-05}, {'class': 'n02641379 gar', 'probability': 2.0403892267495394e-05}, {'class': 'n02536864 coho', 'probability': 1.212720642797649e-05}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999347686767578;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999347686767578}, {'class': 'n02607072 anemone_fish', 'probability': 2.7596247382462024e-05}, {'class': 'n02606052 rock_beauty', 'probability': 2.1175069268792867e-05}, {'class': 'n01440764 tench', 'probability': 5.928901955485344e-06}, {'class': 'n01632777 axolotl', 'probability': 5.105279269628227e-06}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.29201168060302735;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.29201168060302735}, {'class': 'n03733805 measuring_cup', 'probability': 0.2581908988952637}, {'class': 'n03133878 Crock_Pot', 'probability': 0.08282103538513183}, {'class': 'n03775546 mixing_bowl', 'probability': 0.052393221855163576}, {'class': 'n04111531 rotisserie', 'probability': 0.049920449256896975}]
