image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.9669348907470703;n02342885 hamster;n02443484;[{'class': 'n02342885 hamster', 'probability': 0.9669348907470703}, {'class': 'n02328150 Angora', 'probability': 0.008056584000587463}, {'class': 'n02395406 hog', 'probability': 0.0035820016264915466}, {'class': 'n02442845 mink', 'probability': 0.0028220489621162415}, {'class': 'n04589890 window_screen', 'probability': 0.0014399848878383636}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.22524871826171874;n03642806 laptop;n02443484;[{'class': 'n03642806 laptop', 'probability': 0.22524871826171874}, {'class': 'n03832673 notebook', 'probability': 0.18289030075073243}, {'class': 'n03494278 harmonica', 'probability': 0.11018881797790528}, {'class': 'n02992529 cellular_telephone', 'probability': 0.04951644897460938}, {'class': 'n07615774 ice_lolly', 'probability': 0.04487017154693604}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.30559965133666994;n04399382 teddy;n02443484;[{'class': 'n04399382 teddy', 'probability': 0.30559965133666994}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.1866156005859375}, {'class': 'n02441942 weasel', 'probability': 0.18084815979003907}, {'class': 'n01882714 koala', 'probability': 0.07891950607299805}, {'class': 'n02808304 bath_towel', 'probability': 0.03338858842849732}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.44059894561767576;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.44059894561767576}, {'class': 'n02443114 polecat', 'probability': 0.3375291061401367}, {'class': 'n02441942 weasel', 'probability': 0.1928038215637207}, {'class': 'n02342885 hamster', 'probability': 0.012764979600906372}, {'class': 'n02442845 mink', 'probability': 0.003343512713909149}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.3071317291259766;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.3071317291259766}, {'class': 'n02364673 guinea_pig', 'probability': 0.21107105255126954}, {'class': 'n02395406 hog', 'probability': 0.11630577087402344}, {'class': 'n02443114 polecat', 'probability': 0.10019035339355468}, {'class': 'n02105641 Old_English_sheepdog', 'probability': 0.05677801609039307}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.6754261016845703;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.6754261016845703}, {'class': 'n01945685 slug', 'probability': 0.14624287605285644}, {'class': 'n01944390 snail', 'probability': 0.10277016639709473}, {'class': 'n02950826 cannon', 'probability': 0.031066370010375977}, {'class': 'n04067472 reel', 'probability': 0.02299445390701294}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.3541385650634766;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.3541385650634766}, {'class': 'n02514041 barracouta', 'probability': 0.12033272743225097}, {'class': 'n02536864 coho', 'probability': 0.09901830673217774}, {'class': 'n02640242 sturgeon', 'probability': 0.06085819721221924}, {'class': 'n02883205 bow_tie', 'probability': 0.03814388036727905}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.4835584259033203;n02526121 eel;n01440764;[{'class': 'n02526121 eel', 'probability': 0.4835584259033203}, {'class': 'n07716358 zucchini', 'probability': 0.16588085174560546}, {'class': 'n01440764 tench', 'probability': 0.13945911407470704}, {'class': 'n01945685 slug', 'probability': 0.03672575235366821}, {'class': 'n01729322 hognose_snake', 'probability': 0.029642765522003175}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999625396728515;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999625396728515}, {'class': 'n02007558 flamingo', 'probability': 2.3554491344839335e-05}, {'class': 'n02607072 anemone_fish', 'probability': 7.260883576236665e-06}, {'class': 'n01820546 lorikeet', 'probability': 2.301933418493718e-06}, {'class': 'n01943899 conch', 'probability': 1.1023540719179438e-06}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.11675816535949707;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.11675816535949707}, {'class': 'n02927161 butcher_shop', 'probability': 0.10380755424499512}, {'class': 'n03788365 mosquito_net', 'probability': 0.06567778587341308}, {'class': 'n04209239 shower_curtain', 'probability': 0.057785596847534176}, {'class': 'n02966193 carousel', 'probability': 0.036114327907562256}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9999041748046875;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999041748046875}, {'class': 'n09256479 coral_reef', 'probability': 4.269248340278864e-05}, {'class': 'n01818515 macaw', 'probability': 1.33984733838588e-05}, {'class': 'n02607072 anemone_fish', 'probability': 6.422872538678348e-06}, {'class': 'n01440764 tench', 'probability': 4.620384133886546e-06}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9088763427734375;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9088763427734375}, {'class': 'n01498041 stingray', 'probability': 0.06052455902099609}, {'class': 'n01491361 tiger_shark', 'probability': 0.011380711793899536}, {'class': 'n02077923 sea_lion', 'probability': 0.01077282190322876}, {'class': 'n02074367 dugong', 'probability': 0.0024211022257804873}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.3344625473022461;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.3344625473022461}, {'class': 'n02071294 killer_whale', 'probability': 0.32961273193359375}, {'class': 'n01491361 tiger_shark', 'probability': 0.09588180541992188}, {'class': 'n01496331 electric_ray', 'probability': 0.0656041955947876}, {'class': 'n02074367 dugong', 'probability': 0.037230224609375}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.5902079772949219;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.5902079772949219}, {'class': 'n01491361 tiger_shark', 'probability': 0.17403675079345704}, {'class': 'n01496331 electric_ray', 'probability': 0.10854111671447754}, {'class': 'n01910747 jellyfish', 'probability': 0.06840720653533935}, {'class': 'n01498041 stingray', 'probability': 0.019004981517791748}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.9055879974365234;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9055879974365234}, {'class': 'n02641379 gar', 'probability': 0.02105536937713623}, {'class': 'n02066245 grey_whale', 'probability': 0.01294346570968628}, {'class': 'n02536864 coho', 'probability': 0.006120652556419372}, {'class': 'n02071294 killer_whale', 'probability': 0.006054088473320007}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.7261037445068359;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.7261037445068359}, {'class': 'n02066245 grey_whale', 'probability': 0.1253214168548584}, {'class': 'n02077923 sea_lion', 'probability': 0.06240353107452393}, {'class': 'n02444819 otter', 'probability': 0.03672329664230347}, {'class': 'n02058221 albatross', 'probability': 0.022717318534851073}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00007875.JPEG;0.5722993469238281;n01491361 tiger_shark;n01491361;[{'class': 'n01491361 tiger_shark', 'probability': 0.5722993469238281}, {'class': 'n01484850 great_white_shark', 'probability': 0.14560553550720215}, {'class': 'n01494475 hammerhead', 'probability': 0.11545774459838867}, {'class': 'n02655020 puffer', 'probability': 0.05224745273590088}, {'class': 'n01910747 jellyfish', 'probability': 0.013012628555297851}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00015631.JPEG;0.38599945068359376;n01498041 stingray;n01491361;[{'class': 'n01498041 stingray', 'probability': 0.38599945068359376}, {'class': 'n02071294 killer_whale', 'probability': 0.22500680923461913}, {'class': 'n01491361 tiger_shark', 'probability': 0.1021124267578125}, {'class': 'n10565667 scuba_diver', 'probability': 0.09050819396972656}, {'class': 'n02077923 sea_lion', 'probability': 0.07238162517547607}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00026001.JPEG;0.514380760192871;n01494475 hammerhead;n01491361;[{'class': 'n01494475 hammerhead', 'probability': 0.514380760192871}, {'class': 'n01491361 tiger_shark', 'probability': 0.3945797348022461}, {'class': 'n01498041 stingray', 'probability': 0.0657675552368164}, {'class': 'n01496331 electric_ray', 'probability': 0.010685471296310424}, {'class': 'n02640242 sturgeon', 'probability': 0.0049936044216156005}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00012546.JPEG;0.1055097770690918;n09421951 sandbar;n01494475;[{'class': 'n09421951 sandbar', 'probability': 0.1055097770690918}, {'class': 'n02536864 coho', 'probability': 0.10088150978088378}, {'class': 'n04606251 wreck', 'probability': 0.0838090419769287}, {'class': 'n09332890 lakeside', 'probability': 0.0721297788619995}, {'class': 'n09428293 seashore', 'probability': 0.06560867309570312}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00016259.JPEG;0.5610238265991211;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.5610238265991211}, {'class': 'n01491361 tiger_shark', 'probability': 0.20536931991577148}, {'class': 'n01484850 great_white_shark', 'probability': 0.15524932861328125}, {'class': 'n01496331 electric_ray', 'probability': 0.010394055843353272}, {'class': 'n01632777 axolotl', 'probability': 0.0057456368207931515}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00027160.JPEG;0.7716538238525391;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.7716538238525391}, {'class': 'n01496331 electric_ray', 'probability': 0.07644562244415283}, {'class': 'n01491361 tiger_shark', 'probability': 0.032622740268707276}, {'class': 'n10565667 scuba_diver', 'probability': 0.02677823305130005}, {'class': 'n01498041 stingray', 'probability': 0.025554258823394776}]
