image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.28401401519775393;n02342885 hamster;n02443484;[{'class': 'n02342885 hamster', 'probability': 0.28401401519775393}, {'class': 'n01883070 wombat', 'probability': 0.19711799621582032}, {'class': 'n02443114 polecat', 'probability': 0.11179189682006836}, {'class': 'n02445715 skunk', 'probability': 0.09649884223937988}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.07883482933044433}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.6656535339355468;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.6656535339355468}, {'class': 'n02441942 weasel', 'probability': 0.1971210289001465}, {'class': 'n02443114 polecat', 'probability': 0.12437010765075683}, {'class': 'n02444819 otter', 'probability': 0.004806507825851441}, {'class': 'n02442845 mink', 'probability': 0.002506568133831024}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.43578868865966797;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.43578868865966797}, {'class': 'n02441942 weasel', 'probability': 0.22220516204833984}, {'class': 'n02443114 polecat', 'probability': 0.20400903701782228}, {'class': 'n02442845 mink', 'probability': 0.03844734191894531}, {'class': 'n02444819 otter', 'probability': 0.03384056568145752}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.4749307632446289;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.4749307632446289}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.44061946868896484}, {'class': 'n02441942 weasel', 'probability': 0.07582510471343994}, {'class': 'n02442845 mink', 'probability': 0.00828628897666931}, {'class': 'n02444819 otter', 'probability': 0.00023299098014831543}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.7646123504638672;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.7646123504638672}, {'class': 'n02443114 polecat', 'probability': 0.20468832015991212}, {'class': 'n02441942 weasel', 'probability': 0.023788309097290038}, {'class': 'n02442845 mink', 'probability': 0.006581465005874634}, {'class': 'n02346627 porcupine', 'probability': 0.0001154099777340889}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9977304077148438;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9977304077148438}, {'class': 'n04067472 reel', 'probability': 0.002112405598163605}, {'class': 'n02514041 barracouta', 'probability': 6.507094949483871e-05}, {'class': 'n01945685 slug', 'probability': 3.0407153535634278e-05}, {'class': 'n02536864 coho', 'probability': 2.6392005383968354e-05}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.7655792236328125;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.7655792236328125}, {'class': 'n02526121 eel', 'probability': 0.08228178024291992}, {'class': 'n02536864 coho', 'probability': 0.06089940547943115}, {'class': 'n02641379 gar', 'probability': 0.053387937545776365}, {'class': 'n02514041 barracouta', 'probability': 0.012703720331192016}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9981761932373047;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9981761932373047}, {'class': 'n02514041 barracouta', 'probability': 0.0016375894844532014}, {'class': 'n02526121 eel', 'probability': 0.0001191943883895874}, {'class': 'n04067472 reel', 'probability': 3.1318762339651584e-05}, {'class': 'n02641379 gar', 'probability': 1.2008668854832648e-05}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999811553955078;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999811553955078}, {'class': 'n02607072 anemone_fish', 'probability': 1.7548865871503948e-05}, {'class': 'n09256479 coral_reef', 'probability': 5.355009488994256e-07}, {'class': 'n02606052 rock_beauty', 'probability': 4.393633207655512e-07}, {'class': 'n01914609 sea_anemone', 'probability': 1.9057779354625382e-07}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.8882215881347656;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.8882215881347656}, {'class': 'n01632777 axolotl', 'probability': 0.03336481809616089}, {'class': 'n04111531 rotisserie', 'probability': 0.02371556043624878}, {'class': 'n02927161 butcher_shop', 'probability': 0.01631668448448181}, {'class': 'n02007558 flamingo', 'probability': 0.004046490490436554}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9999974060058594;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999974060058594}, {'class': 'n09256479 coral_reef', 'probability': 1.6459876496810467e-06}, {'class': 'n02607072 anemone_fish', 'probability': 8.000953675946221e-07}, {'class': 'n02606052 rock_beauty', 'probability': 1.0810243111336604e-07}, {'class': 'n01914609 sea_anemone', 'probability': 5.411432084656553e-08}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9809039306640625;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9809039306640625}, {'class': 'n01491361 tiger_shark', 'probability': 0.015856693983078003}, {'class': 'n02066245 grey_whale', 'probability': 0.0012471804022789002}, {'class': 'n01498041 stingray', 'probability': 0.0008774591982364655}, {'class': 'n01496331 electric_ray', 'probability': 0.00014705645851790906}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.541767349243164;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.541767349243164}, {'class': 'n01491361 tiger_shark', 'probability': 0.31858036041259763}, {'class': 'n01494475 hammerhead', 'probability': 0.05335559844970703}, {'class': 'n01496331 electric_ray', 'probability': 0.03709290981292725}, {'class': 'n02077923 sea_lion', 'probability': 0.01390851616859436}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.82615966796875;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.82615966796875}, {'class': 'n01491361 tiger_shark', 'probability': 0.17240852355957031}, {'class': 'n01496331 electric_ray', 'probability': 0.0006160502508282662}, {'class': 'n01498041 stingray', 'probability': 0.00041058070957660674}, {'class': 'n01494475 hammerhead', 'probability': 0.0003439293056726456}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.9866435241699218;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9866435241699218}, {'class': 'n01491361 tiger_shark', 'probability': 0.008070008754730225}, {'class': 'n02640242 sturgeon', 'probability': 0.0020116980373859404}, {'class': 'n02641379 gar', 'probability': 0.0009926862269639969}, {'class': 'n02536864 coho', 'probability': 0.0009354184567928315}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.9191302490234375;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9191302490234375}, {'class': 'n02077923 sea_lion', 'probability': 0.023631062507629395}, {'class': 'n02066245 grey_whale', 'probability': 0.020675127506256104}, {'class': 'n02074367 dugong', 'probability': 0.010057013034820556}, {'class': 'n02071294 killer_whale', 'probability': 0.00953627347946167}]
