image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.8681951141357422;n02342885 hamster;n02443484;[{'class': 'n02342885 hamster', 'probability': 0.8681951141357422}, {'class': 'n02442845 mink', 'probability': 0.05254679679870605}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.0329170823097229}, {'class': 'n01883070 wombat', 'probability': 0.0206017541885376}, {'class': 'n02441942 weasel', 'probability': 0.012846959829330444}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.7226216125488282;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.7226216125488282}, {'class': 'n02441942 weasel', 'probability': 0.15141887664794923}, {'class': 'n02443114 polecat', 'probability': 0.12404026985168456}, {'class': 'n02442845 mink', 'probability': 0.001506495624780655}, {'class': 'n02342885 hamster', 'probability': 0.0003057337924838066}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.6887294769287109;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.6887294769287109}, {'class': 'n02441942 weasel', 'probability': 0.20625247955322265}, {'class': 'n02443114 polecat', 'probability': 0.062237277030944824}, {'class': 'n02808304 bath_towel', 'probability': 0.030784749984741212}, {'class': 'n02442845 mink', 'probability': 0.0039549687504768375}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.6752070617675782;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.6752070617675782}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.2936894035339355}, {'class': 'n02441942 weasel', 'probability': 0.030356554985046386}, {'class': 'n02442845 mink', 'probability': 0.0006442923098802566}, {'class': 'n02447366 badger', 'probability': 7.326577324420213e-05}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.7050464630126954;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.7050464630126954}, {'class': 'n02443114 polecat', 'probability': 0.26151906967163085}, {'class': 'n02441942 weasel', 'probability': 0.02703737497329712}, {'class': 'n02442845 mink', 'probability': 0.006227385997772217}, {'class': 'n02445715 skunk', 'probability': 0.00011197838932275773}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9921351623535156;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9921351623535156}, {'class': 'n04067472 reel', 'probability': 0.005693138241767883}, {'class': 'n02514041 barracouta', 'probability': 0.00070592001080513}, {'class': 'n02641379 gar', 'probability': 0.0006868882477283478}, {'class': 'n02536864 coho', 'probability': 0.000528290793299675}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9985387420654297;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9985387420654297}, {'class': 'n02514041 barracouta', 'probability': 0.0014269188046455382}, {'class': 'n02526121 eel', 'probability': 1.4359296765178442e-05}, {'class': 'n02536864 coho', 'probability': 9.627716499380768e-06}, {'class': 'n01873310 platypus', 'probability': 4.036844475194812e-06}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9997400665283203;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9997400665283203}, {'class': 'n02514041 barracouta', 'probability': 0.00021317677572369576}, {'class': 'n02526121 eel', 'probability': 4.431938286870718e-05}, {'class': 'n02641379 gar', 'probability': 9.124959615292028e-07}, {'class': 'n02536864 coho', 'probability': 6.768611638108268e-07}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9994539642333984;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9994539642333984}, {'class': 'n02607072 anemone_fish', 'probability': 0.0005054035037755966}, {'class': 'n02606052 rock_beauty', 'probability': 1.9430809188634158e-05}, {'class': 'n01440764 tench', 'probability': 1.6504054656252265e-05}, {'class': 'n09256479 coral_reef', 'probability': 2.816642227116972e-06}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.6263067626953125;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.6263067626953125}, {'class': 'n03733805 measuring_cup', 'probability': 0.06934716701507568}, {'class': 'n04070727 refrigerator', 'probability': 0.03687368392944336}, {'class': 'n01983481 American_lobster', 'probability': 0.03458479404449463}, {'class': 'n01985128 crayfish', 'probability': 0.03025006055831909}]
