image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.7701753997802734;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.7701753997802734}, {'class': 'n02443114 polecat', 'probability': 0.11153704643249512}, {'class': 'n02441942 weasel', 'probability': 0.04349700927734375}, {'class': 'n02442845 mink', 'probability': 0.012940807342529297}, {'class': 'n03930630 pickup', 'probability': 0.0004018861800432205}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.5890187072753906;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5890187072753906}, {'class': 'n02441942 weasel', 'probability': 0.3553719329833984}, {'class': 'n02443114 polecat', 'probability': 0.035147719383239746}, {'class': 'n02442845 mink', 'probability': 0.0015549884736537933}, {'class': 'n02137549 mongoose', 'probability': 0.0011169260740280151}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.541193733215332;n02441942 weasel;n02443484;[{'class': 'n02441942 weasel', 'probability': 0.541193733215332}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.23821664810180665}, {'class': 'n02443114 polecat', 'probability': 0.09511714935302734}, {'class': 'n02808304 bath_towel', 'probability': 0.02490618944168091}, {'class': 'n02442845 mink', 'probability': 0.009997647404670715}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.45226364135742186;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.45226364135742186}, {'class': 'n02443114 polecat', 'probability': 0.3421779251098633}, {'class': 'n02441942 weasel', 'probability': 0.12267045974731446}, {'class': 'n02442845 mink', 'probability': 0.00442692220211029}, {'class': 'n02509815 lesser_panda', 'probability': 0.0013111534714698792}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.5558303070068359;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5558303070068359}, {'class': 'n02443114 polecat', 'probability': 0.306547908782959}, {'class': 'n02441942 weasel', 'probability': 0.08220915794372559}, {'class': 'n02442845 mink', 'probability': 0.005909516215324402}, {'class': 'n02447366 badger', 'probability': 0.0030840450525283815}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9242982482910156;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9242982482910156}, {'class': 'n02514041 barracouta', 'probability': 0.0022480902075767517}, {'class': 'n04067472 reel', 'probability': 0.0013461406528949738}, {'class': 'n02536864 coho', 'probability': 0.0009223029762506485}, {'class': 'n03876231 paintbrush', 'probability': 0.00048542864620685575}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.8202981567382812;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.8202981567382812}, {'class': 'n02536864 coho', 'probability': 0.03264858245849609}, {'class': 'n02514041 barracouta', 'probability': 0.017828367948532105}, {'class': 'n02641379 gar', 'probability': 0.002632562518119812}, {'class': 'n04067472 reel', 'probability': 0.0025991418957710265}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9927257537841797;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9927257537841797}, {'class': 'n02526121 eel', 'probability': 0.0009018222242593765}, {'class': 'n02514041 barracouta', 'probability': 0.00024592556059360504}, {'class': 'n02606052 rock_beauty', 'probability': 0.00021007265895605086}, {'class': 'n01443537 goldfish', 'probability': 0.00012399463914334775}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9392739868164063;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9392739868164063}, {'class': 'n02606052 rock_beauty', 'probability': 0.0065804171562194825}, {'class': 'n02607072 anemone_fish', 'probability': 0.00487279087305069}, {'class': 'n02701002 ambulance', 'probability': 0.0017541663348674774}, {'class': 'n01440764 tench', 'probability': 0.0005860994011163711}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.8757408905029297;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.8757408905029297}, {'class': 'n04111531 rotisserie', 'probability': 0.009145750403404236}, {'class': 'n02815834 beaker', 'probability': 0.004031724333763123}, {'class': 'n01985128 crayfish', 'probability': 0.0035974299907684327}, {'class': 'n01532829 house_finch', 'probability': 0.0026516374945640565}]
