image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.6476448822021484;n02342885 hamster;n02443484;[{'class': 'n02342885 hamster', 'probability': 0.6476448822021484}, {'class': 'n01883070 wombat', 'probability': 0.12646836280822754}, {'class': 'n02442845 mink', 'probability': 0.08510220527648926}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.031068992614746094}, {'class': 'n02441942 weasel', 'probability': 0.030081353187561034}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.7588594055175781;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.7588594055175781}, {'class': 'n02441942 weasel', 'probability': 0.14968499183654785}, {'class': 'n02443114 polecat', 'probability': 0.08730749130249023}, {'class': 'n02442845 mink', 'probability': 0.0028153061866760254}, {'class': 'n02444819 otter', 'probability': 0.0007564426958560944}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.42238109588623046;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.42238109588623046}, {'class': 'n02441942 weasel', 'probability': 0.31110855102539064}, {'class': 'n02443114 polecat', 'probability': 0.1868201446533203}, {'class': 'n02442845 mink', 'probability': 0.03464328765869141}, {'class': 'n02444819 otter', 'probability': 0.024706881046295166}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.5322793579101562;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5322793579101562}, {'class': 'n02443114 polecat', 'probability': 0.3804551315307617}, {'class': 'n02441942 weasel', 'probability': 0.0851845932006836}, {'class': 'n02442845 mink', 'probability': 0.0018837828934192657}, {'class': 'n02445715 skunk', 'probability': 8.202984929084778e-05}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.7089403533935547;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.7089403533935547}, {'class': 'n02443114 polecat', 'probability': 0.2662271308898926}, {'class': 'n02441942 weasel', 'probability': 0.020698812007904053}, {'class': 'n02442845 mink', 'probability': 0.004125353395938874}, {'class': 'n02445715 skunk', 'probability': 5.865637795068324e-06}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9945674133300781;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9945674133300781}, {'class': 'n04067472 reel', 'probability': 0.004236099720001221}, {'class': 'n02514041 barracouta', 'probability': 0.0004047520458698273}, {'class': 'n02536864 coho', 'probability': 0.00033624637871980666}, {'class': 'n02641379 gar', 'probability': 0.00021620955318212508}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9705103302001953;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9705103302001953}, {'class': 'n02536864 coho', 'probability': 0.014611620903015137}, {'class': 'n02514041 barracouta', 'probability': 0.014030941724777223}, {'class': 'n02641379 gar', 'probability': 0.000561487153172493}, {'class': 'n02640242 sturgeon', 'probability': 0.0002213779464364052}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9975588226318359;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9975588226318359}, {'class': 'n02526121 eel', 'probability': 0.00205910325050354}, {'class': 'n01945685 slug', 'probability': 0.0001865239068865776}, {'class': 'n02514041 barracouta', 'probability': 0.00015610492788255216}, {'class': 'n07716358 zucchini', 'probability': 1.8092719838023186e-05}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9992209625244141;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9992209625244141}, {'class': 'n02607072 anemone_fish', 'probability': 0.0007717408239841461}, {'class': 'n01440764 tench', 'probability': 2.786125987768173e-06}, {'class': 'n01914609 sea_anemone', 'probability': 1.9255324150435625e-06}, {'class': 'n02606052 rock_beauty', 'probability': 1.2462584709282964e-06}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.9774827575683593;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9774827575683593}, {'class': 'n01985128 crayfish', 'probability': 0.006054343581199646}, {'class': 'n01632777 axolotl', 'probability': 0.0036981412768363952}, {'class': 'n01983481 American_lobster', 'probability': 0.0008368175476789474}, {'class': 'n03983396 pop_bottle', 'probability': 0.0007364293187856674}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9999997711181641;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999997711181641}, {'class': 'n02607072 anemone_fish', 'probability': 1.4047790500626433e-07}, {'class': 'n09256479 coral_reef', 'probability': 6.897305866004899e-08}, {'class': 'n02606052 rock_beauty', 'probability': 8.733921390557952e-09}, {'class': 'n01914609 sea_anemone', 'probability': 4.938539746035531e-09}]
