image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;42.47526931762695;n03196217 digital clock;n02443484;[{'probability': 42.47526931762695, 'class': 'n03196217 digital clock'}, {'probability': 30.54409408569336, 'class': 'n02708093 analog clock'}, {'probability': 29.64948272705078, 'class': 'n06874185 traffic light, traffic signal, stoplight'}, {'probability': 27.046308517456055, 'class': 'n04286575 spotlight, spot'}, {'probability': 26.81852912902832, 'class': 'n04041544 radio, wireless'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;35.95201110839844;n03196217 digital clock;n02443484;[{'probability': 35.95201110839844, 'class': 'n03196217 digital clock'}, {'probability': 33.03972244262695, 'class': 'n06874185 traffic light, traffic signal, stoplight'}, {'probability': 27.05820655822754, 'class': 'n02708093 analog clock'}, {'probability': 24.331327438354492, 'class': 'n04286575 spotlight, spot'}, {'probability': 22.45915985107422, 'class': 'n04548280 wall clock'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;16.497785568237305;n04286575 spotlight, spot;n02443484;[{'probability': 16.497785568237305, 'class': 'n04286575 spotlight, spot'}, {'probability': 15.861295700073242, 'class': 'n04485082 tripod'}, {'probability': 15.50010871887207, 'class': 'n03196217 digital clock'}, {'probability': 15.476223945617676, 'class': 'n03637318 lampshade, lamp shade'}, {'probability': 15.249565124511719, 'class': 'n02708093 analog clock'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;29.357925415039062;n03196217 digital clock;n02443484;[{'probability': 29.357925415039062, 'class': 'n03196217 digital clock'}, {'probability': 28.641849517822266, 'class': 'n04286575 spotlight, spot'}, {'probability': 28.00348663330078, 'class': 'n06874185 traffic light, traffic signal, stoplight'}, {'probability': 26.37760353088379, 'class': 'n02708093 analog clock'}, {'probability': 22.85025978088379, 'class': 'n04485082 tripod'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;23.910526275634766;n03196217 digital clock;n02443484;[{'probability': 23.910526275634766, 'class': 'n03196217 digital clock'}, {'probability': 21.174598693847656, 'class': 'n06874185 traffic light, traffic signal, stoplight'}, {'probability': 20.978193283081055, 'class': 'n02708093 analog clock'}, {'probability': 19.018123626708984, 'class': 'n04286575 spotlight, spot'}, {'probability': 17.811904907226562, 'class': 'n04485082 tripod'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;25.4410400390625;n03196217 digital clock;n01440764;[{'probability': 25.4410400390625, 'class': 'n03196217 digital clock'}, {'probability': 24.484512329101562, 'class': 'n02708093 analog clock'}, {'probability': 23.734567642211914, 'class': 'n04286575 spotlight, spot'}, {'probability': 22.803422927856445, 'class': 'n04485082 tripod'}, {'probability': 22.41668701171875, 'class': 'n04590129 window shade'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;19.0451602935791;n04286575 spotlight, spot;n01440764;[{'probability': 19.0451602935791, 'class': 'n04286575 spotlight, spot'}, {'probability': 18.742916107177734, 'class': 'n07930864 cup'}, {'probability': 18.625837326049805, 'class': 'n03196217 digital clock'}, {'probability': 18.56060791015625, 'class': 'n03657121 lens cap, lens cover'}, {'probability': 18.015687942504883, 'class': 'n03637318 lampshade, lamp shade'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;19.358243942260742;n02708093 analog clock;n01440764;[{'probability': 19.358243942260742, 'class': 'n02708093 analog clock'}, {'probability': 18.327037811279297, 'class': 'n03196217 digital clock'}, {'probability': 18.03034210205078, 'class': 'n04286575 spotlight, spot'}, {'probability': 15.569661140441895, 'class': 'n09229709 bubble'}, {'probability': 14.791426658630371, 'class': 'n03388043 fountain'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;22.497011184692383;n06874185 traffic light, traffic signal, stoplight;n01443537;[{'probability': 22.497011184692383, 'class': 'n06874185 traffic light, traffic signal, stoplight'}, {'probability': 21.445011138916016, 'class': 'n07930864 cup'}, {'probability': 20.56779670715332, 'class': 'n03196217 digital clock'}, {'probability': 18.844266891479492, 'class': 'n03942813 ping-pong ball'}, {'probability': 17.945297241210938, 'class': 'n02708093 analog clock'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;20.18845558166504;n02948072 candle, taper, wax light;n01443537;[{'probability': 20.18845558166504, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 19.95825958251953, 'class': 'n06874185 traffic light, traffic signal, stoplight'}, {'probability': 19.75628089904785, 'class': 'n04456115 torch'}, {'probability': 19.1258544921875, 'class': 'n03388043 fountain'}, {'probability': 18.554372787475586, 'class': 'n04286575 spotlight, spot'}]
