image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.7406577467918396;n02442845 mink;n02443484;[{'probability': 0.7406577467918396, 'class': 'n02442845 mink'}, {'probability': 0.08176319301128387, 'class': 'n02342885 hamster'}, {'probability': 0.06222369149327278, 'class': 'n01817953 African grey, African gray, Psittacus erithacus'}, {'probability': 0.028111083433032036, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.023563364520668983, 'class': 'n03207941 dishwasher, dish washer, dishwashing machine'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.2063807100057602;n02124075 Egyptian cat;n02443484;[{'probability': 0.2063807100057602, 'class': 'n02124075 Egyptian cat'}, {'probability': 0.07506116479635239, 'class': 'n02123045 tabby, tabby cat'}, {'probability': 0.058600835502147675, 'class': 'n02123159 tiger cat'}, {'probability': 0.04844868555665016, 'class': 'n04074963 remote control, remote'}, {'probability': 0.04052037000656128, 'class': 'n04557648 water bottle'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.6065153479576111;n02441942 weasel;n02443484;[{'probability': 0.6065153479576111, 'class': 'n02441942 weasel'}, {'probability': 0.13378186523914337, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.09952657669782639, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.07020992040634155, 'class': 'n02356798 fox squirrel, eastern fox squirrel, Sciurus niger'}, {'probability': 0.03910883516073227, 'class': 'n02442845 mink'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.4529281556606293;n02443114 polecat, fitch, foulmart, foumart, Mustela putorius;n02443484;[{'probability': 0.4529281556606293, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.32695886492729187, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.17428162693977356, 'class': 'n02441942 weasel'}, {'probability': 0.037596557289361954, 'class': 'n02442845 mink'}, {'probability': 0.0054494100622832775, 'class': 'n02444819 otter'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.6988755464553833;n02441942 weasel;n02443484;[{'probability': 0.6988755464553833, 'class': 'n02441942 weasel'}, {'probability': 0.11464563757181168, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.10426823794841766, 'class': 'n02442845 mink'}, {'probability': 0.030907584354281425, 'class': 'n02120079 Arctic fox, white fox, Alopex lagopus'}, {'probability': 0.023198699578642845, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.6668441891670227;n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch;n01440764;[{'probability': 0.6668441891670227, 'class': 'n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch'}, {'probability': 0.10448849946260452, 'class': 'n02514041 barracouta, snoek'}, {'probability': 0.07330723106861115, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.06965016573667526, 'class': 'n04376876 syringe'}, {'probability': 0.03166733309626579, 'class': 'n02641379 gar, garfish, garpike, billfish, Lepisosteus osseus'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.4438563883304596;n02514041 barracouta, snoek;n01440764;[{'probability': 0.4438563883304596, 'class': 'n02514041 barracouta, snoek'}, {'probability': 0.26587897539138794, 'class': 'n02641379 gar, garfish, garpike, billfish, Lepisosteus osseus'}, {'probability': 0.20169894397258759, 'class': 'n02640242 sturgeon'}, {'probability': 0.055089857429265976, 'class': 'n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch'}, {'probability': 0.007346561178565025, 'class': 'n01873310 platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9353184103965759;n02526121 eel;n01440764;[{'probability': 0.9353184103965759, 'class': 'n02526121 eel'}, {'probability': 0.0235291775316, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.012276344001293182, 'class': 'n01751748 sea snake'}, {'probability': 0.005148562602698803, 'class': 'n02640242 sturgeon'}, {'probability': 0.003606148762628436, 'class': 'n01728572 thunder snake, worm snake, Carphophis amoenus'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.819055438041687;n01443537 goldfish, Carassius auratus;n01443537;[{'probability': 0.819055438041687, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.08126144856214523, 'class': 'n02606052 rock beauty, Holocanthus tricolor'}, {'probability': 0.05869005620479584, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.016245920211076736, 'class': 'n01818515 macaw'}, {'probability': 0.009033889509737492, 'class': 'n01704323 triceratops'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.9546093940734863;n03788365 mosquito net;n01443537;[{'probability': 0.9546093940734863, 'class': 'n03788365 mosquito net'}, {'probability': 0.015855709090828896, 'class': 'n03958227 plastic bag'}, {'probability': 0.010914183221757412, 'class': 'n04209239 shower curtain'}, {'probability': 0.006921662483364344, 'class': 'n04209133 shower cap'}, {'probability': 0.0019199657253921032, 'class': 'n02815834 beaker'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9979130625724792;n01443537 goldfish, Carassius auratus;n01443537;[{'probability': 0.9979130625724792, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.001110423938371241, 'class': 'n01914609 sea anemone, anemone'}, {'probability': 0.0004722862795460969, 'class': 'n01632777 axolotl, mud puppy, Ambystoma mexicanum'}, {'probability': 0.0001512269809609279, 'class': 'n09256479 coral reef'}, {'probability': 9.230700379703194e-05, 'class': 'n02607072 anemone fish'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9294559955596924;n01498041 stingray;n01484850;[{'probability': 0.9294559955596924, 'class': 'n01498041 stingray'}, {'probability': 0.012109911069273949, 'class': 'n01496331 electric ray, crampfish, numbfish, torpedo'}, {'probability': 0.011653965339064598, 'class': 'n02074367 dugong, Dugong dugon'}, {'probability': 0.011143753305077553, 'class': 'n01665541 leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea'}, {'probability': 0.0083992974832654, 'class': 'n01664065 loggerhead, loggerhead turtle, Caretta caretta'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.4448227882385254;n03958227 plastic bag;n01484850;[{'probability': 0.4448227882385254, 'class': 'n03958227 plastic bag'}, {'probability': 0.127581387758255, 'class': 'n01943899 conch'}, {'probability': 0.03540512174367905, 'class': 'n01664065 loggerhead, loggerhead turtle, Caretta caretta'}, {'probability': 0.027236733585596085, 'class': 'n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus'}, {'probability': 0.02371055819094181, 'class': 'n07248320 book jacket, dust cover, dust jacket, dust wrapper'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.13848675787448883;n03544143 hourglass;n01484850;[{'probability': 0.13848675787448883, 'class': 'n03544143 hourglass'}, {'probability': 0.06349053978919983, 'class': 'n03958227 plastic bag'}, {'probability': 0.056044016033411026, 'class': 'n07753592 banana'}, {'probability': 0.054844602942466736, 'class': 'n07749582 lemon'}, {'probability': 0.050371572375297546, 'class': 'n04591713 wine bottle'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.4103100597858429;n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias;n01484850;[{'probability': 0.4103100597858429, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.21587927639484406, 'class': 'n02640242 sturgeon'}, {'probability': 0.10442167520523071, 'class': 'n02641379 gar, garfish, garpike, billfish, Lepisosteus osseus'}, {'probability': 0.05025701969861984, 'class': 'n02514041 barracouta, snoek'}, {'probability': 0.030308149755001068, 'class': 'n03958227 plastic bag'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.42900070548057556;n02066245 grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus;n01484850;[{'probability': 0.42900070548057556, 'class': 'n02066245 grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus'}, {'probability': 0.2522321045398712, 'class': 'n02077923 sea lion'}, {'probability': 0.1410706341266632, 'class': 'n02640242 sturgeon'}, {'probability': 0.04865571856498718, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.04156310483813286, 'class': 'n01665541 leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea'}]
dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00007875.JPEG;0.22614102065563202;n01494475 hammerhead, hammerhead shark;n01491361;[{'probability': 0.22614102065563202, 'class': 'n01494475 hammerhead, hammerhead shark'}, {'probability': 0.19152899086475372, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}, {'probability': 0.13017234206199646, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.06970182061195374, 'class': 'n01498041 stingray'}, {'probability': 0.058672431856393814, 'class': 'n02640242 sturgeon'}]
dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00015631.JPEG;0.5228890180587769;n01498041 stingray;n01491361;[{'probability': 0.5228890180587769, 'class': 'n01498041 stingray'}, {'probability': 0.2044064998626709, 'class': 'n01496331 electric ray, crampfish, numbfish, torpedo'}, {'probability': 0.12208859622478485, 'class': 'n02074367 dugong, Dugong dugon'}, {'probability': 0.0878477618098259, 'class': 'n01494475 hammerhead, hammerhead shark'}, {'probability': 0.024468395859003067, 'class': 'n02640242 sturgeon'}]
dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00026001.JPEG;0.7536782026290894;n01494475 hammerhead, hammerhead shark;n01491361;[{'probability': 0.7536782026290894, 'class': 'n01494475 hammerhead, hammerhead shark'}, {'probability': 0.19600588083267212, 'class': 'n02640242 sturgeon'}, {'probability': 0.031300853937864304, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}, {'probability': 0.005252176430076361, 'class': 'n01873310 platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus'}, {'probability': 0.002019384875893593, 'class': 'n01496331 electric ray, crampfish, numbfish, torpedo'}]
